#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.029640396           0                 0                   0
    0.100       -4.079047821         454            141502            34946263
    0.200       -4.114165912         943            178528            73974561
    0.300       -4.139789582        1835            228938           306460142
    0.400       -4.159057079        3200            316742          1087682964
    0.500       -4.173944836        4885            443146          2414893194
    0.600       -4.185731119        6798            595522          4221643188
    0.700       -4.195265751        8865            765980          6444634392
    0.800       -4.203126840       11041            948358          9010921369
    0.900       -4.209716756       13303           1139536         11874744672
    1.000       -4.215321392       15636           1337882         15073570446
    1.100       -4.220148631       18034           1541914         18921371309
    1.200       -4.224350834       20464           1750694         23406071340
