#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.029640396           0                 0                   0
    0.100       -4.077484108         296            137268            18965337
    0.200       -4.111575680         584            160366            37215210
    0.300       -4.136450959         873            183018            55573996
    0.400       -4.155077418        1170            205930            74617942
    0.500       -4.169398867        1482            229428            94861935
    0.600       -4.180707780        1821            254334           117529187
    0.700       -4.189867978        2193            281468           145483880
    0.800       -4.197468618        2600            311008           185466112
    0.900       -4.203892480        3025            342662           233539930
    1.000       -4.209413998        3465            374664           295917891
    1.100       -4.214207851        3906            407830           363204733
    1.200       -4.218410029        4335            440968           434139515
    1.300       -4.222128575        4754            472652           505100927
    1.400       -4.225434914        5153            504014           572115471
    1.500       -4.228389341        5526            533704           634255781
    1.600       -4.231041550        5874            561178           688051890
    1.700       -4.233433064        6198            586748           741432423
    1.800       -4.235597356        6498            610302           782717652
    1.900       -4.237562077        6773            631866           820272312
    2.000       -4.239352596        7033            651670           850766941
    2.100       -4.240991498        7282            670098           881537799
    2.200       -4.242492349        7519            687994           909693029
    2.300       -4.243870162        7747            705060           934623242
    2.400       -4.245142688        7970            721304           962780186
    2.500       -4.246310109        8182            737656           987926047
    2.600       -4.247389862        8385            753250          1010750891
    2.700       -4.248385483        8576            767936          1031313979
    2.800       -4.249308370        8764            781864          1052469656
    2.900       -4.250163393        8947            795728          1072894816
    3.000       -4.250961114        9121            809096          1090672423
    3.100       -4.251697665        9287            822050          1108884958
    3.200       -4.252382969        9447            834446          1126693663
    3.300       -4.253017816        9596            846314          1141005109
    3.400       -4.253608597        9740            857154          1154755734
    3.500       -4.254159179        9878            867766          1168462561
    3.600       -4.254670814       10009            877916          1180939901
    3.700       -4.255150897       10138            887768          1193680207
    3.800       -4.255599446       10260            897506          1205110018
    3.900       -4.256015313       10377            906576          1215996216
    4.000       -4.256410102       10491            915308          1225431987
    4.100       -4.256776931       10599            923880          1234571472
    4.200       -4.257122804       10706            931992          1244281748
    4.300       -4.257448044       10808            939834          1252827595
    4.400       -4.257751202       10907            947504          1261281615
    4.500       -4.258036958       11003            955194          1269415344
    4.600       -4.258305452       11095            962632          1276517365
    4.700       -4.258559005       11186            969618          1283542449
    4.800       -4.258794744       11275            976354          1291218059
    4.900       -4.259021550       11362            983054          1297502891
    5.000       -4.259235033       11448            989680          1304115250
    5.100       -4.259437748       11532            996194          1310629031
    5.200       -4.259624118       11613           1002388          1316573049
    5.300       -4.259804873       11693           1008444          1322578346
    5.400       -4.259972772       11771           1014612          1328438281
    5.500       -4.260134604       11847           1020376          1334038662
    5.600       -4.260284111       11920           1025938          1338995344
    5.700       -4.260427108       11992           1031452          1344897545
    5.800       -4.260560655       12061           1036850          1349684079
    5.900       -4.260688554       12129           1042084          1354668388
    6.000       -4.260808109       12195           1047242          1358903447
