#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.347305534           0                 0                   0
    0.200       -3.398739521         875                 0             6640375
    0.400       -3.407109641        1750                 0            13280750
    0.600       -3.409549852        2625                 0            19921125
    0.800       -3.409885638        3500                 0            26561500
    1.000       -3.408612899        4375                 0            33201875
