#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.275451852           0             60368                   0
    0.100       -5.312811054         266             74708            42536592
    0.200       -5.339350057         532             89188            85073184
    0.300       -5.358447649         810            104340           129635472
    0.400       -5.372385836        1108            120568           177594400
    0.500       -5.382730703        1437            137980           247707112
    0.600       -5.390540343        1820            158272           349849696
    0.700       -5.396529483        2284            183156           521226208
    0.800       -5.401191473        2813            211712           762931784
    0.900       -5.404868817        3395            243228          1055998184
    1.000       -5.407803396        4010            276908          1402073048
    1.100       -5.410168372        4630            311696          1752563792
    1.200       -5.412092572        5242            344768          2097861032
    1.300       -5.413672277        5852            378716          2474946312
    1.400       -5.414977965        6443            411204          2822557032
    1.500       -5.416064451        7015            442252          3171440880
    1.600       -5.416974915        7565            472316          3478846240
    1.700       -5.417741866        8090            501344          3829498720
    1.800       -5.418390331        8591            528168          4123251928
    1.900       -5.418941810        9067            553752          4399219720
    2.000       -5.419412353        9516            578428          4659412072
    2.100       -5.419814314        9929            601220          4877976616
    2.200       -5.420158265       10311            621992          5086899344
    2.300       -5.420454218       10668            641292          5277750440
    2.400       -5.420710095       11009            659660          5466416048
    2.500       -5.420930360       11330            676912          5613019256
    2.600       -5.421121369       11640            693352          5747091600
    2.700       -5.421288015       11937            708984          5901056760
    2.800       -5.421432832       12220            723676          6039301624
    2.900       -5.421558418       12489            738072          6152898256
    3.000       -5.421668339       12745            751460          6272112848
    3.100       -5.421764327       12988            763976          6399935024
    3.200       -5.421848370       13223            776808          6493935888
    3.300       -5.421922021       13446            788468          6571394656
    3.400       -5.421987132       13663            799900          6658707872
