#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.275451852           0             60368                   0
    0.100       -5.312902923         284             75796            45578592
    0.200       -5.339502717         573             91592            92005864
    0.300       -5.358634963         882            108444           141843856
    0.400       -5.372613172        1255            128312           233095544
    0.500       -5.383002595        1774            156348           443842976
    0.600       -5.390849612        2425            192136           787603976
    0.700       -5.396865565        3186            234776          1254803984
    0.800       -5.401541319        3998            279996          1785598040
    0.900       -5.405224081        4868            328756          2410956320
    1.000       -5.408157494        5750            378268          3043067216
    1.100       -5.410517921        6635            428344          3734173856
    1.200       -5.412435329        7507            477200          4411983152
    1.300       -5.414005983        8362            525332          5098041992
    1.400       -5.415302707        9196            571260          5771148008
    1.500       -5.416380825       10010            617332          6379557384
    1.600       -5.417282556       10784            660432          7034842488
    1.700       -5.418041017       11530            702180          7648220568
    1.800       -5.418681580       12238            741288          8152371096
    1.900       -5.419225792       12925            779776          8686928136
    2.000       -5.419689435       13582            815880          9151695696
    2.100       -5.420086469       14218            850720          9651288408
    2.200       -5.420427414       14825            884480         10128352504
    2.300       -5.420720887       15407            916776         10552403392
    2.400       -5.420974239       15965            946984         10932304696
    2.500       -5.421193634       16503            976224         11349068144
    2.600       -5.421384079       17025           1004768         11787212624
    2.700       -5.421549434       17525           1032192         12112859336
    2.800       -5.421693609       18007           1058916         12447670496
    2.900       -5.421819026       18464           1083564         12773005776
    3.000       -5.421928330       18898           1106984         13056826248
    3.100       -5.422023881       19317           1129768         13360504200
