#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
   13.600       -5.419291574       45832           1258544          7527803880
   13.700       -5.419291574       46169           1267798          7582459888
   13.800       -5.419291574       46506           1277052          7637115896
   13.900       -5.419291574       46843           1286306          7691771904
   14.000       -5.419291574       47180           1295560          7746427912
   14.100       -5.419291574       47517           1304814          7801083920
   14.200       -5.419291574       47854           1314068          7855739928
   14.300       -5.419291574       48191           1323322          7910395936
   14.400       -5.419291574       48528           1332576          7965051944
   14.500       -5.419291574       48865           1341830          8019707952
   14.600       -5.419291574       49202           1351084          8074363960
   14.700       -5.419291574       49539           1360338          8129019968
   14.800       -5.419291574       49876           1369592          8183675976
   14.900       -5.419291574       50213           1378846          8238331984
   15.000       -5.419291574       50550           1388100          8292987992
   15.100       -5.419291574       50887           1397354          8347644000
   15.200       -5.419291574       51224           1406608          8402300008
   15.300       -5.419291574       51561           1415862          8456956016
   15.400       -5.419291574       51898           1425116          8511612024
   15.500       -5.419291574       52235           1434370          8566268032
   15.600       -5.419291574       52572           1443624          8620924040
   15.700       -5.419291574       52909           1452878          8675580048
   15.800       -5.419291574       53246           1462132          8730236056
   15.900       -5.419291574       53583           1471386          8784892064
   16.000       -5.419291574       53920           1480640          8839548072
   16.100       -5.419291574       54257           1489894          8894204080
   16.200       -5.419291574       54594           1499148          8948860088
   16.300       -5.419291574       54931           1508402          9003516096
   16.400       -5.419291574       55268           1517656          9058172104
   16.500       -5.419291574       55605           1526910          9112828112
   16.600       -5.419291574       55942           1536164          9167484120
   16.700       -5.419291574       56279           1545418          9222140128
   16.800       -5.419291574       56616           1554672          9276796136
   16.900       -5.419291574       56953           1563926          9331452144
   17.000       -5.419291574       57290           1573180          9386108152
   17.100       -5.419291574       57627           1582434          9440764160
   17.200       -5.419291574       57962           1591624          9495420168
   17.300       -5.419291574       58297           1600814          9549730368
   17.400       -5.419291574       58632           1610004          9604040568
   17.500       -5.419291574       58967           1619194          9658350768
   17.600       -5.419291574       59302           1628384          9712660968
   17.700       -5.419291574       59637           1637574          9766971168
   17.800       -5.419291574       59972           1646764          9821281368
   17.900       -5.419291574       60307           1655954          9875591568
   18.000       -5.419291574       60642           1665144          9929901768
   18.100       -5.419291574       60977           1674334          9984211968
   18.200       -5.419291574       61312           1683524         10038522168
   18.300       -5.419291574       61647           1692714         10092832368
   18.400       -5.419291574       61982           1701904         10147142568
   18.500       -5.419291574       62317           1711094         10201452768
   18.600       -5.419291574       62652           1720284         10255762968
   18.700       -5.419291574       62987           1729474         10310073168
   18.800       -5.419291574       63322           1738664         10364383368
   18.900       -5.419291574       63657           1747854         10418693568
   19.000       -5.419291574       63992           1757044         10473003768
   19.100       -5.419291574       64327           1766234         10527313968
   19.200       -5.419291574       64658           1775300         10581624168
   19.300       -5.419291574       64985           1784238         10635243520
   19.400       -5.419291574       65312           1793176         10688173048
   19.500       -5.419291574       65639           1802114         10741102576
   19.600       -5.419291574       65966           1811052         10794032104
   19.700       -5.419291574       66293           1819990         10846961632
   19.800       -5.419291574       66620           1828928         10899891160
   19.900       -5.419291574       66947           1837866         10952820688
   20.000       -5.419291574       67266           1846564         11005750216
   20.100       -5.419291574       67585           1855262         11057303168
   20.200       -5.419291574       67904           1863960         11108856120
   20.300       -5.419291574       68223           1872658         11160409072
   20.400       -5.419291574       68542           1881356         11211962024
   20.500       -5.419291574       68861           1890054         11263514976
   20.600       -5.419291574       69180           1898752         11315067928
   20.700       -5.419291574       69499           1907450         11366620880
   20.800       -5.419291574       69818           1916148         11418173832
   20.900       -5.419291574       70137           1924846         11469726784
   21.000       -5.419291574       70456           1933544         11521279736
   21.100       -5.419291574       70775           1942242         11572832688
   21.200       -5.419291574       71092           1950876         11624385640
   21.300       -5.419291574       71409           1959510         11675595088
   21.400       -5.419291574       71726           1968144         11726804536
   21.500       -5.419291574       72043           1976778         11778013984
   21.600       -5.419291574       72360           1985412         11829223432
   21.700       -5.419291574       72677           1994046         11880432880
   21.800       -5.419291574       72994           2002680         11931642328
   21.900       -5.419291574       73303           2011074         11982851776
   22.000       -5.419291574       73610           2019416         12032689768
   22.100       -5.419291574       73909           2027518         12082185536
   22.200       -5.419291574       74208           2035620         12130314968
   22.300       -5.419291574       74507           2043722         12178444400
   22.400       -5.419291574       74790           2051344         12226573832
   22.500       -5.419291574       75065           2058726         12271982880
   22.600       -5.419291574       75340           2066108         12316037880
   22.700       -5.419291574       75615           2073490         12360092880
   22.800       -5.419291574       75886           2080728         12404147880
   22.900       -5.419291574       76153           2087822         12447527392
   23.000       -5.419291574       76420           2094916         12490232440
   23.100       -5.419291574       76687           2102010         12532937488
   23.200       -5.419291574       76954           2109104         12575642536
   23.300       -5.419291574       77221           2116198         12618347584
   23.400       -5.419291574       77480           2123040         12661052632
   23.500       -5.419291574       77731           2129630         12702411824
   23.600       -5.419291574       77982           2136220         12742429256
   23.700       -5.419291574       78233           2142810         12782446688
   23.800       -5.419291574       78472           2149068         12822464120
   23.900       -5.419291574       78711           2155326         12860476592
   24.000       -5.419291574       78946           2161440         12898489064
   24.100       -5.419291574       79177           2167474         12935835264
   24.200       -5.419291574       79400           2173268         12972516216
   24.300       -5.419291574       79607           2178630         13007869744
   24.400       -5.419291574       79814           2183992         13040580712
   24.500       -5.419291574       80005           2188874         13073291680
   24.600       -5.419291574       80196           2193756         13103376472
   24.700       -5.419291574       80379           2198398         13133461264
   24.800       -5.419291574       80562           2203040         13162239112
   24.900       -5.419291574       80737           2207442         13191016960
   25.000       -5.419291574       80912           2211844         13218491960
   25.100       -5.419291574       81075           2215886         13245966960
   25.200       -5.419291574       81224           2219552         13271495368
   25.300       -5.419291574       81373           2223218         13294764400
   25.400       -5.419291574       81520           2226844         13318033432
   25.500       -5.419291574       81667           2230470         13340980720
   25.600       -5.419291574       81812           2234040         13363928008
   25.700       -5.419291574       81957           2237610         13386553808
   25.800       -5.419291574       82094           2240988         13409179608
   25.900       -5.419291574       82229           2244310         13430522016
   26.000       -5.419291574       82364           2247632         13451544216
   26.100       -5.419291574       82497           2250906         13472566416
   26.200       -5.419291574       82625           2253998         13493268664
   26.300       -5.419291574       82733           2256562         13513172152
   26.400       -5.419291574       82837           2258982         13529896600
   26.500       -5.419291574       82941           2261402         13545988312
   26.600       -5.419291574       83043           2263766         13562080024
   26.700       -5.419291574       83143           2266082         13577855752
   26.800       -5.419291574       83233           2268182         13593315752
   26.900       -5.419291574       83321           2270210         13607200952
   27.000       -5.419291574       83395           2271882         13620771960
   27.100       -5.419291574       83467           2273482         13632150792
   27.200       -5.419291574       83535           2275010         13643217480
   27.300       -5.419291574       83589           2276198         13653660648
   27.400       -5.419291574       83635           2277146         13661929560
   27.500       -5.419291574       83677           2277998         13668961672
   27.600       -5.419291574       83715           2278754         13675376920
   27.700       -5.419291574       83749           2279438         13681176328
   27.800       -5.419291574       83783           2280122         13686360920
   27.900       -5.419291574       83817           2280806         13691545512
   28.000       -5.419291574       83851           2281490         13696730104
   28.100       -5.419291574       83873           2281838         13701914696
   28.200       -5.419291574       83895           2282186         13705260984
   28.300       -5.419291574       83917           2282534         13708607272
   28.400       -5.419291574       83939           2282882         13711953560
