#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.275451852           0             60368                   0
    0.100       -5.312977349         309             77220            49837992
    0.200       -5.339632101         658             95832           119239888
    0.300       -5.358827493        1384            136340           526917688
    0.400       -5.372870414        2388            192828          1287145504
    0.500       -5.383305987        3599            263016          2356376296
    0.600       -5.391179761        4944            340956          3654233936
    0.700       -5.397207427        6396            425548          5183040056
    0.800       -5.401884836        7944            516256          7034224064
    0.900       -5.405560563        9568            610476          9231196200
    1.000       -5.408482834       11272            709860         11595932904
    1.100       -5.410831030       13045            812696         14985589368
    1.200       -5.412736147       14869            919684         18828613824
    1.300       -5.414295236       16706           1026776         23211633130
    1.400       -5.415581166       18555           1134144         28312920452
    1.500       -5.416649275       20379           1240444         33684192446
    1.600       -5.417542140       22169           1344612         39408818096
    1.700       -5.418292883       23921           1447064         44732047442
    1.800       -5.418927113       25602           1544556         50442560580
    1.900       -5.419465377       27206           1638168         55019240886
    2.000       -5.419924135       28747           1727100         59868050718
    2.100       -5.420316575       30233           1812460         64100968990
    2.200       -5.420653395       31652           1894268         68192179246
    2.300       -5.420943323       33002           1971908         72453405790
    2.400       -5.421193457       34282           2044868         75732834382
    2.500       -5.421409951       35510           2115296         78540050750
    2.600       -5.421597637       36681           2181972         81112810038
    2.700       -5.421760715       37821           2246484         83667148182
    2.800       -5.421902650       38908           2308196         86156742022
    2.900       -5.422026432       39953           2367368         88226168966
