#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.247617342           0                 0                   0
    0.100       -5.285963877         419             11286           195553200
    0.200       -5.313835677         838             22572           287426592
    0.300       -5.334374550        1257             33858           379299984
    0.400       -5.349731313        1676             45144           471173376
    0.500       -5.361382344        2095             56430           563046768
    0.600       -5.370348884        2514             67716           654920160
    0.700       -5.377344730        2933             79002           746793552
    0.800       -5.382874669        3352             90288           838666944
    0.900       -5.387300061        3771            101574           930540336
    1.000       -5.390882776        4190            112860          1022413728
    1.100       -5.393814874        4609            124146          1114287120
    1.200       -5.396238859        5028            135432          1206160512
    1.300       -5.398261659        5447            146718          1298033904
    1.400       -5.399964378        5866            158004          1389907296
    1.500       -5.401409170        6285            169290          1481780688
    1.600       -5.402644147        6704            180576          1573654080
    1.700       -5.403706905        7123            191862          1665527472
    1.800       -5.404627102        7542            203148          1757400864
    1.900       -5.405428338        7961            214434          1849274256
    2.000       -5.406129558        8380            225720          1941147648
    2.100       -5.406746092        8799            237006          2033021040
    2.200       -5.407290450        9218            248292          2124894432
    2.300       -5.407772913        9637            259578          2216767824
    2.400       -5.408201995       10056            270864          2308641216
    2.500       -5.408584797       10475            282150          2400514608
    2.600       -5.408927277       10894            293436          2492388000
    2.700       -5.409234473       11313            304722          2584261392
    2.800       -5.409510660       11732            316008          2676134784
    2.900       -5.409759498       12151            327294          2768008176
    3.000       -5.409984126       12570            338580          2859881568
    3.100       -5.410187258       12989            349866          2951754960
    3.200       -5.410371247       13408            361152          3043628352
    3.300       -5.410538142       13827            372438          3135501744
    3.400       -5.410689736       14246            383724          3227375136
    3.500       -5.410827603       14665            395010          3319248528
    3.600       -5.410953131       15084            406296          3411121920
    3.700       -5.411067544       15503            417582          3502995312
    3.800       -5.411171930       15922            428868          3594868704
    3.900       -5.411267255       16341            440154          3686742096
    4.000       -5.411354378       16760            451440          3778615488
    4.100       -5.411434070       17179            462726          3870488880
    4.200       -5.411507018       17598            474012          3962362272
    4.300       -5.411573838       18017            485298          4054235664
    4.400       -5.411635087       18436            496584          4146109056
    4.500       -5.411691264       18855            507870          4237982448
    4.600       -5.411742817       19274            519156          4329855840
    4.700       -5.411790155       19693            530442          4421729232
    4.800       -5.411833644       20112            541728          4513602624
    4.900       -5.411873618       20531            553014          4605476016
    5.000       -5.411910377       20950            564300          4697349408
    5.100       -5.411944196       21369            575586          4789222800
    5.200       -5.411975323       21788            586872          4881096192
    5.300       -5.412003984       22207            598158          4972969584
    5.400       -5.412030385       22626            609444          5064842976
    5.500       -5.412054712       23045            620730          5156716368
    5.600       -5.412077138       23464            632016          5248589760
    5.700       -5.412097818       23883            643302          5340463152
    5.800       -5.412116894       24302            654588          5432336544
    5.900       -5.412134497       24721            665874          5524209936
    6.000       -5.412150744       25140            677160          5616083328
    6.100       -5.412165745       25559            688446          5707956720
    6.200       -5.412179600       25978            699732          5799830112
    6.300       -5.412192399       26397            711018          5891703504
    6.400       -5.412204226       26816            722304          5983576896
    6.500       -5.412215158       27235            733590          6075450288
    6.600       -5.412225265       27654            744876          6167323680
    6.700       -5.412234611       28073            756162          6259197072
    6.800       -5.412243256       28492            767448          6351070464
    6.900       -5.412251254       28911            778734          6442943856
    7.000       -5.412258656       29330            790020          6534817248
    7.100       -5.412265506       29749            801306          6626690640
    7.200       -5.412271848       30168            812592          6718564032
    7.300       -5.412277720       30587            823878          6810437424
    7.400       -5.412283159       31006            835164          6902310816
    7.500       -5.412288196       31425            846450          6994184208
    7.600       -5.412292863       31844            857736          7086057600
    7.700       -5.412297188       32263            869022          7177930992
    7.800       -5.412301196       32682            880308          7269804384
    7.900       -5.412304911       33101            891594          7361677776
    8.000       -5.412308355       33520            902880          7453551168
    8.100       -5.412311548       33939            914166          7545424560
    8.200       -5.412314510       34358            925452          7637297952
    8.300       -5.412317256       34777            936738          7729171344
    8.400       -5.412319804       35196            948024          7821044736
    8.500       -5.412322168       35615            959310          7912918128
    8.600       -5.412324361       36034            970596          8004791520
    8.700       -5.412326396       36453            981882          8096664912
    8.800       -5.412328285       36872            993168          8188538304
    8.900       -5.412330038       37291           1004454          8280411696
    9.000       -5.412331666       37710           1015740          8372285088
    9.100       -5.412333177       38129           1027026          8464158480
    9.200       -5.412334580       38548           1038312          8556031872
    9.300       -5.412335883       38967           1049598          8647905264
    9.400       -5.412337093       39386           1060884          8739778656
    9.500       -5.412338216       39805           1072170          8831652048
    9.600       -5.412339260       40224           1083456          8923525440
    9.700       -5.412340230       40643           1094742          9015398832
    9.800       -5.412341131       41062           1106028          9107272224
    9.900       -5.412341968       41481           1117314          9199145616
   10.000       -5.412342746       41900           1128600          9291019008
   10.100       -5.412343469       42319           1139886          9382892400
   10.200       -5.412344140       42738           1151172          9474765792
   10.300       -5.412344765       43157           1162458          9566639184
   10.400       -5.412345345       43576           1173744          9658512576
   10.500       -5.412345885       43995           1185030          9750385968
   10.600       -5.412346386       44414           1196316          9842259360
   10.700       -5.412346852       44833           1207602          9934132752
   10.800       -5.412347286       45252           1218888         10026006144
   10.900       -5.412347689       45671           1230174         10117879536
   11.000       -5.412348064       46090           1241460         10209752928
   11.100       -5.412348412       46509           1252746         10301626320
   11.200       -5.412348736       46928           1264032         10393499712
   11.300       -5.412349038       47347           1275318         10485373104
   11.400       -5.412349318       47766           1286604         10577246496
   11.500       -5.412349579       48185           1297890         10669119888
   11.600       -5.412349821       48604           1309176         10760993280
   11.700       -5.412350047       49023           1320462         10852866672
   11.800       -5.412350257       49442           1331748         10944740064
   11.900       -5.412350452       49861           1343034         11036613456
   12.000       -5.412350634       50280           1354320         11128486848
   12.100       -5.412350803       50699           1365606         11220360240
   12.200       -5.412350960       51118           1376892         11312233632
   12.300       -5.412351107       51537           1388178         11404107024
   12.400       -5.412351243       51956           1399464         11495980416
   12.500       -5.412351369       52375           1410750         11587853808
   12.600       -5.412351487       52794           1422036         11679727200
   12.700       -5.412351597       53213           1433322         11771600592
   12.800       -5.412351699       53632           1444608         11863473984
   12.900       -5.412351794       54051           1455894         11955347376
   13.000       -5.412351883       54470           1467180         12047220768
   13.100       -5.412351965       54889           1478466         12139094160
   13.200       -5.412352042       55308           1489752         12230967552
   13.300       -5.412352113       55727           1501038         12322840944
   13.400       -5.412352179       56146           1512324         12414714336
   13.500       -5.412352241       56565           1523610         12506587728
   13.600       -5.412352299       56984           1534896         12598461120
   13.700       -5.412352352       57403           1546182         12690334512
   13.800       -5.412352402       57822           1557468         12782207904
   13.900       -5.412352448       58241           1568754         12874081296
   14.000       -5.412352492       58660           1580040         12965954688
   14.100       -5.412352532       59079           1591326         13057828080
   14.200       -5.412352569       59498           1602612         13149701472
   14.300       -5.412352604       59917           1613898         13241574864
   14.400       -5.412352637       60336           1625184         13333448256
   14.500       -5.412352667       60755           1636470         13425321648
   14.600       -5.412352695       61174           1647756         13517195040
   14.700       -5.412352721       61593           1659042         13609068432
   14.800       -5.412352746       62012           1670328         13700941824
   14.900       -5.412352768       62431           1681614         13792815216
   15.000       -5.412352789       62850           1692900         13884688608
   15.100       -5.412352809       63269           1704186         13976562000
   15.200       -5.412352827       63688           1715472         14068435392
   15.300       -5.412352845       64107           1726758         14160308784
   15.400       -5.412352860       64526           1738044         14252182176
   15.500       -5.412352875       64945           1749330         14344055568
   15.600       -5.412352889       65364           1760616         14435928960
   15.700       -5.412352902       65783           1771902         14527802352
   15.800       -5.412352914       66202           1783188         14619675744
   15.900       -5.412352925       66621           1794474         14711549136
   16.000       -5.412352935       67040           1805760         14803422528
   16.100       -5.412352945       67459           1817046         14895295920
   16.200       -5.412352954       67878           1828332         14987169312
   16.300       -5.412352962       68297           1839618         15079042704
   16.400       -5.412352970       68716           1850904         15170916096
   16.500       -5.412352977       69135           1862190         15262789488
   16.600       -5.412352984       69554           1873476         15354662880
   16.700       -5.412352990       69973           1884762         15446536272
   16.800       -5.412352996       70392           1896048         15538409664
   16.900       -5.412353002       70811           1907334         15630283056
   17.000       -5.412353007       71230           1918620         15722156448
   17.100       -5.412353012       71649           1929906         15814029840
   17.200       -5.412353016       72068           1941192         15905903232
   17.300       -5.412353020       72487           1952478         15997776624
   17.400       -5.412353024       72906           1963764         16089650016
   17.500       -5.412353028       73325           1975050         16181523408
   17.600       -5.412353031       73744           1986336         16273396800
   17.700       -5.412353034       74163           1997622         16365270192
   17.800       -5.412353037       74582           2008908         16457143584
   17.900       -5.412353040       75001           2020194         16549016976
   18.000       -5.412353042       75420           2031480         16640890368
   18.100       -5.412353044       75839           2042766         16732763760
   18.200       -5.412353047       76258           2054052         16824637152
   18.300       -5.412353049       76677           2065338         16916510544
   18.400       -5.412353050       77096           2076624         17008383936
   18.500       -5.412353052       77515           2087910         17100257328
