#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.247617342           0             87056                   0
    0.100       -5.285955032         382            107532            82934320
    0.200       -5.313835668         924            136120           283729210
    0.300       -5.334426351        1940            192452          1092485188
    0.400       -5.349877825        3232            266048          2365087774
    0.500       -5.361652999        4717            351700          4007917966
    0.600       -5.370759415        6334            445472          5925227902
    0.700       -5.377900010        8064            546104          8098476142
    0.800       -5.383572225        9886            652476         10498673822
    0.900       -5.388132920       11792            763908         13175200782
    1.000       -5.391841718       13782            880396         16307041822
    1.100       -5.394889363       15846           1001084         19868182078
    1.200       -5.397418373       17971           1125500         24587116238
    1.300       -5.399536028       20135           1252184         30055421310
    1.400       -5.401324300       22317           1379836         36364949950
    1.500       -5.402846166       24480           1505824         43089038614
