#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.247617342           0             87056                   0
    0.500       -5.375706087         368            106844            80052408
    1.000       -5.397836962        1946            198304          1939759944
    1.500       -5.405630238        3653            298464          4761696834
    2.000       -5.409315964        5134            384396          7591605042
    2.500       -5.411357754        6598            470428         11752073034
    3.000       -5.412594537        7916            547940         15121218418
    3.500       -5.413384742        9157            621368         18318007540
    4.000       -5.413907959       10324            690596         20936050708
    4.500       -5.414254520       11478            759732         23800748044
    5.000       -5.414469173       12692            833128         27059743276
    5.500       -5.414548148       14024            915036         31248455452
    6.000       -5.414400889       15625           1014964         38259185830
    6.500       -5.413669824       17670           1144640         52197222880
    7.000       -5.410990026       20731           1342044         98323980248
    7.500       -5.400680854       25720           1667264        328110488072
    8.000       -5.356810421       34042           2213488        3219825888128
    8.500       -5.158746361       47600           3113756        52029201916482
    9.000       -4.421507648       68039           4492160        456657409075308
