#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.247617342           0                 0                   0
    0.500       -5.375819848         419             11286         19452193200
    1.000       -5.396798567         838             22572         19544066592
    1.500       -5.404109092        1257             33858         19635939984
    2.000       -5.407566566        1676             45144         19727813376
    2.500       -5.409444627        2095             56430         19819686768
    3.000       -5.410537172        2514             67716         19911560160
    3.500       -5.411197894        2933             79002         20003433552
    4.000       -5.411607720        3352             90288         20095306944
    4.500       -5.411866589        3771            101574         20187180336
    5.000       -5.412032428        4190            112860         20279053728
    5.500       -5.412139876        4609            124146         20370927120
    6.000       -5.412210148        5028            135432         20462800512
    6.500       -5.412256468        5447            146718         20554673904
    7.000       -5.412287205        5866            158004         20646547296
    7.500       -5.412307719        6285            169290         20738420688
    8.000       -5.412321482        6704            180576         20830294080
    8.500       -5.412330759        7123            191862         20922167472
    9.000       -5.412337039        7542            203148         21014040864
    9.500       -5.412341309        7961            214434         21105914256
   10.000       -5.412344226        8380            225720         21197787648
   10.500       -5.412346229        8799            237006         21289661040
   11.000       -5.412347612        9218            248292         21381534432
   11.500       -5.412348574        9637            259578         21473407824
   12.000       -5.412349247       10056            270864         21565281216
   12.500       -5.412349724       10475            282150         21657154608
   13.000       -5.412350066       10894            293436         21749028000
   13.500       -5.412350314       11313            304722         21840901392
   14.000       -5.412350497       11732            316008         21932774784
   14.500       -5.412350634       12151            327294         22024648176
   15.000       -5.412350739       12570            338580         22116521568
   15.500       -5.412350822       12989            349866         22208394960
   16.000       -5.412350887       13408            361152         22300268352
   16.500       -5.412350941       13827            372438         22392141744
   17.000       -5.412350985       14246            383724         22484015136
   17.500       -5.412351023       14665            395010         22575888528
   18.000       -5.412351055       15084            406296         22667761920
   18.500       -5.412351083       15503            417582         22759635312
   19.000       -5.412351108       15922            428868         22851508704
   19.500       -5.412351129       16341            440154         22943382096
   20.000       -5.412351149       16760            451440         23035255488
   20.500       -5.412351166       17179            462726         23127128880
   21.000       -5.412351182       17598            474012         23219002272
   21.500       -5.412351196       18017            485298         23310875664
   22.000       -5.412351208       18436            496584         23402749056
   22.500       -5.412351220       18855            507870         23494622448
   23.000       -5.412351230       19274            519156         23586495840
   23.500       -5.412351240       19693            530442         23678369232
   24.000       -5.412351248       20112            541728         23770242624
   24.500       -5.412351256       20531            553014         23862116016
   25.000       -5.412351263       20950            564300         23953989408
   25.500       -5.412351269       21369            575586         24045862800
   26.000       -5.412351275       21788            586872         24137736192
   26.500       -5.412351281       22207            598158         24229609584
   27.000       -5.412351285       22626            609444         24321482976
   27.500       -5.412351290       23045            620730         24413356368
   28.000       -5.412351294       23464            632016         24505229760
   28.500       -5.412351297       23883            643302         24597103152
   29.000       -5.412351301       24302            654588         24688976544
   29.500       -5.412351304       24721            665874         24780849936
   30.000       -5.412351307       25140            677160         24872723328
