#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.686462500           0             60368                   0
    0.500       -4.853120466         266             74980            42536592
    1.000       -4.924783540        1154            125368           648781176
    1.500       -4.963580922        2585            210088          2149667328
    2.000       -4.988057813        4463            320484          5648760816
    2.500       -5.004610651        6768            459128         16019435920
    3.000       -5.016114786        9283            609536         33493183112
    3.500       -5.024246669       11905            768392         59746458752
    4.000       -5.030058932       14623            932792        107071652456
    4.500       -5.034238644       17324           1097424        166427030784
    5.000       -5.037305422       20030           1260868        260045342016
    5.500       -5.039556568       22602           1417560        389626409992
    6.000       -5.041243144       25155           1573444        581625943216
    6.500       -5.042524362       27645           1725652        832204107280
    7.000       -5.043498556       30032           1871248        1143747920080
    7.500       -5.044254612       32326           2011384        1558580600152
    8.000       -5.044848086       34570           2148420        2120234014096
    8.500       -5.045317469       36717           2279896        2856629565352
    9.000       -5.045694330       38748           2404396        3702871994224
    9.500       -5.045993746       40670           2522868        4599399713770
   10.000       -5.046236631       42521           2637440        5562062455378
   10.500       -5.046436930       44275           2745768        6504152789890
   11.000       -5.046600638       45965           2850312        7697422960940
   11.500       -5.046735677       47576           2950216        8995865933972
   12.000       -5.046850376       49135           3046628        10281093069158
   12.500       -5.046945678       50624           3139556        11692526590422
   13.000       -5.047025803       52047           3228220        13183057444240
   13.500       -5.047094996       53420           3314108        14615317087714
   14.000       -5.047152371       54722           3395620        16058335565452
   14.500       -5.047202752       55979           3473792        17425101998950
   15.000       -5.047245316       57195           3549708        18782210245328
   15.500       -5.047283620       58376           3623640        20089413595946
   16.000       -5.047316093       59513           3694988        21416714857322
   16.500       -5.047344885       60629           3764780        22745933870444
   17.000       -5.047369990       61701           3831808        24110747337294
   17.500       -5.047391938       62741           3897016        25502970731208
   18.000       -5.047410822       63741           3959576        27881968883338
   18.500       -5.047427779       64713           4020032        30391994055484
   19.000       -5.047442950       65650           4079096        32854748063270
   19.500       -5.047455938       66552           4135636        35352630035246
   20.000       -5.047467040       67428           4190844        38162185707734
   20.500       -5.047477149       68254           4242640        40807102928766
   21.000       -5.047485724       69051           4292896        43564597332582
   21.500       -5.047493681       69831           4341676        46227005828862
   22.000       -5.047500211       70583           4388932        48911428582998
   22.500       -5.047506058       71317           4435332        51621288324870
   23.000       -5.047511398       72036           4480796        54230037374982
   23.500       -5.047516484       72746           4525708        56908331800566
   24.000       -5.047521082       73431           4568836        59423770271806
   24.500       -5.047524576       74097           4610992        62034588802366
   25.000       -5.047527709       74743           4651624        64569543504134
   25.500       -5.047530780       75381           4691916        67084163896742
   26.000       -5.047533756       76003           4731104        69546943638270
   26.500       -5.047536434       76610           4769548        71997053719246
   27.000       -5.047538898       77206           4807220        74398516746478
   27.500       -5.047540950       77791           4844432        76896953082070
   28.000       -5.047542667       78362           4880648        79458045957230
   28.500       -5.047544186       78918           4915968        82098809700030
   29.000       -5.047545582       79469           4950888        84703356694470
   29.500       -5.047546786       80013           4985492        87340316881966
   30.000       -5.047547907       80552           5019552        89898738760102
