#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.686462500           0             60368                   0
    0.500       -4.844624098         148             68272            23108128
    1.000       -4.912332275         302             76484            47182640
    1.500       -4.949409845         474             85736            74170128
    2.000       -4.973384878         666             96168           105893208
    2.500       -4.989731720         836            104408           157083840
    3.000       -5.001497396        1018            114064           214487880
    3.500       -5.009895404        1213            123956           289599984
    4.000       -5.015883522        1408            133932           399261864
    4.500       -5.020249994        1599            144284           555976512
    5.000       -5.023460633        1777            153492           688705768
    5.500       -5.025873699        1954            162928           862560976
    6.000       -5.027636195        2115            171440          1052933344
    6.500       -5.029004225        2263            178928          1195875872
    7.000       -5.030022062        2398            185860          1564247096
    7.500       -5.030866218        2520            191956          2109645056
    8.000       -5.031452565        2632            197736          2859017376
    8.500       -5.031917131        2733            202888          3560328288
    9.000       -5.032307322        2822            207584          4224417960
    9.500       -5.032601235        2904            212004          4873322176
   10.000       -5.032788751        2972            215996          5541369832
   10.500       -5.032945372        3028            219144          6150604912
   11.000       -5.033066816        3076            221760          6741962680
   11.500       -5.033150074        3115            223940          7317209512
   12.000       -5.033210503        3149            225888          7893708344
   12.500       -5.033237977        3178            227472          8470515536
   13.000       -5.033251508        3204            228944          9049206488
   13.500       -5.033295405        3230            230420          9608197160
   14.000       -5.033314140        3256            231932         10176539432
   14.500       -5.033316420        3279            233192         10740192560
   15.000       -5.033322467        3302            234496         11304782288
   15.500       -5.033331229        3324            235756         11860664208
   16.000       -5.033342311        3346            236996         12414684256
   16.500       -5.033361549        3367            238164         12959132728
   17.000       -5.033373077        3387            239224         13503272968
   17.500       -5.033385856        3408            240380         14048646136
   18.000       -5.033394935        3428            241488         14594635960
   18.500       -5.033398060        3448            242600         15148035640
   19.000       -5.033399436        3467            243652         15696489272
   19.500       -5.033403631        3486            244712         16241245656
   20.000       -5.033403633        3504            245704         16784769624
   20.500       -5.033403633        3522            246696         17328293592
   21.000       -5.033403633        3540            247688         17871817560
   21.500       -5.033403633        3558            248680         18415341528
   22.000       -5.033403633        3576            249672         18958865496
   22.500       -5.033403633        3594            250664         19502389464
   23.000       -5.033403633        3612            251656         20045913432
   23.500       -5.033403633        3630            252648         20589437400
   24.000       -5.033403633        3648            253640         21132961368
   24.500       -5.033403633        3666            254632         21676485336
   25.000       -5.033403633        3684            255624         22220009304
   25.500       -5.033403633        3702            256616         22763533272
   26.000       -5.033403633        3720            257608         23307057240
   26.500       -5.033403633        3738            258600         23850581208
   27.000       -5.033403633        3756            259592         24394105176
   27.500       -5.033403633        3774            260584         24937629144
   28.000       -5.033403633        3792            261576         25481153112
   28.500       -5.033403633        3810            262568         26024677080
   29.000       -5.033403633        3828            263560         26568201048
   29.500       -5.033403633        3846            264552         27111725016
   30.000       -5.033403633        3864            265544         27655248984
