#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.178589706          45               742              276494
    0.200       -3.195304241          90              1484              552988
    0.300       -3.207870651         136              2246              838011
    0.400       -3.217387062         181              2992             1114089
    0.500       -3.224702413         225              3716             1380838
    0.600       -3.230413186         269              4444             1648995
    0.700       -3.234918236         312              5120             1907215
    0.800       -3.238513674         354              5804             2157866
    0.900       -3.241418343         396              6486             2408549
    1.000       -3.243782156         437              7142             2649487
    1.100       -3.245721531         478              7804             2891513
    1.200       -3.247328190         518              8458             3150770
    1.300       -3.248665267         556              9050             3400457
    1.400       -3.249786763         592              9622             3617854
    1.500       -3.250730836         626             10156             3843505
    1.600       -3.251531768         657             10658             4069681
    1.700       -3.252211471         684             11078             4226989
    1.800       -3.252795247         709             11478             4371047
    1.900       -3.253296586         731             11816             4489198
    2.000       -3.253727821         750             12108             4599618
    2.100       -3.254101137         767             12378             4679444
    2.200       -3.254427111         783             12634             4762709
    2.300       -3.254707519         797             12834             4830356
    2.400       -3.254952373         810             13028             4901890
    2.500       -3.255168299         822             13204             4955999
    2.600       -3.255357439         833             13358             5004331
    2.700       -3.255526252         844             13518             5053175
    2.800       -3.255672349         854             13658             5100274
    2.900       -3.255800967         863             13800             5139612
    3.000       -3.255915563         872             13928             5181126
    3.100       -3.256015160         880             14046             5214815
    3.200       -3.256103170         887             14146             5245927
    3.300       -3.256181601         894             14238             5275887
    3.400       -3.256251470         901             14342             5305399
    3.500       -3.256314595         908             14438             5339455
    3.600       -3.256369354         914             14530             5365110
    3.700       -3.256416400         919             14584             5386204
    3.800       -3.256460966         925             14670             5412019
    3.900       -3.256499390         930             14742             5434521
    4.000       -3.256534136         935             14814             5456127
    4.100       -3.256565797         940             14886             5477989
    4.200       -3.256593190         945             14936             5498587
    4.300       -3.256619218         950             14994             5520705
    4.400       -3.256643739         955             15064             5542183
    4.500       -3.256665699         960             15104             5562557
    4.600       -3.256687416         965             15164             5583699
    4.700       -3.256704814         969             15224             5601256
    4.800       -3.256720631         973             15270             5618301
    4.900       -3.256734870         977             15314             5635458
    5.000       -3.256748392         981             15350             5652583
    5.100       -3.256759975         984             15380             5666347
    5.200       -3.256771124         988             15416             5683344
    5.300       -3.256781381         992             15456             5700597
    5.400       -3.256792572         996             15514             5718794
    5.500       -3.256800530         999             15548             5732622
    5.600       -3.256808105        1002             15582             5746546
    5.700       -3.256815136        1005             15610             5760086
    5.800       -3.256821993        1008             15636             5773578
    5.900       -3.256828612        1011             15662             5787070
    6.000       -3.256835061        1014             15716             5800706
    6.100       -3.256839043        1016             15744             5810773
    6.200       -3.256842986        1018             15772             5820840
    6.300       -3.256845305        1019             15782             5827530
    6.400       -3.256847495        1020             15800             5834220
    6.500       -3.256849760        1021             15812             5840910
    6.600       -3.256851607        1022             15828             5847600
    6.700       -3.256853847        1023             15846             5854290
