#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.178589706          45              7534              276494
    0.200       -3.195304241          90              9760              552988
    0.300       -3.207870651         136             12006              838011
    0.400       -3.217387062         181             14276             1114089
    0.500       -3.224702413         225             16492             1380838
    0.600       -3.230413186         269             18668             1648995
    0.700       -3.234918236         312             20800             1907215
    0.800       -3.238513674         354             22836             2157866
    0.900       -3.241418343         396             24886             2408549
    1.000       -3.243782156         437             26906             2649487
    1.100       -3.245721531         478             28880             2891513
    1.200       -3.247328190         518             30858             3150770
    1.300       -3.248665267         556             32758             3400457
    1.400       -3.249786763         592             34514             3617854
    1.500       -3.250730836         626             36192             3843505
    1.600       -3.251531768         657             37762             4069681
    1.700       -3.252211471         684             39186             4226989
    1.800       -3.252795247         709             40426             4371047
    1.900       -3.253296586         731             41564             4489198
    2.000       -3.253727821         750             42532             4599618
    2.100       -3.254101137         767             43386             4679444
    2.200       -3.254427111         783             44182             4762709
    2.300       -3.254707519         797             44894             4830356
    2.400       -3.254952373         810             45488             4901890
    2.500       -3.255168299         822             46052             4955999
    2.600       -3.255357439         833             46558             5004331
    2.700       -3.255526252         844             47026             5053175
    2.800       -3.255672349         854             47486             5100274
    2.900       -3.255800967         863             47908             5139612
    3.000       -3.255915563         872             48320             5181126
    3.100       -3.256015160         880             48694             5214815
    3.200       -3.256103170         887             49030             5245927
    3.300       -3.256181601         894             49322             5275887
    3.400       -3.256251470         901             49610             5305399
    3.500       -3.256314595         908             49914             5339455
    3.600       -3.256369354         914             50198             5365110
    3.700       -3.256416400         919             50436             5386204
    3.800       -3.256460966         925             50630             5412019
    3.900       -3.256499390         930             50874             5434521
    4.000       -3.256534136         935             51090             5456127
    4.100       -3.256565797         940             51306             5477989
    4.200       -3.256593190         945             51500             5498587
    4.300       -3.256619218         950             51658             5520705
