#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.166288902          90               900              468915
    0.200       -3.173017041         180              1800              937830
    0.300       -3.177566500         270              2700             1406745
    0.400       -3.180743396         360              3600             1875660
    0.500       -3.183029476         450              4500             2344575
    0.600       -3.184720320         540              5400             2813490
    0.700       -3.186002315         630              6300             3282405
    0.800       -3.186996225         720              7200             3751320
    0.900       -3.187782360         810              8100             4220235
    1.000       -3.188415439         900              9000             4689150
    1.100       -3.188933579         990              9900             5158065
    1.200       -3.189363874        1080             10800             5626980
    1.300       -3.189725937        1170             11700             6095895
    1.400       -3.190034197        1260             12600             6564810
    1.500       -3.190299433        1350             13500             7033725
    1.600       -3.190529809        1440             14400             7502640
    1.700       -3.190731592        1530             15300             7971555
    1.800       -3.190909646        1620             16200             8440470
    1.900       -3.191067799        1710             17100             8909385
    2.000       -3.191209092        1800             18000             9378300
    2.100       -3.191335969        1890             18900             9847215
    2.200       -3.191450415        1980             19800            10316130
    2.300       -3.191554060        2070             20700            10785045
    2.400       -3.191648254        2160             21600            11253960
    2.500       -3.191734126        2250             22500            11722875
    2.600       -3.191812627        2340             23400            12191790
    2.700       -3.191884568        2430             24300            12660705
    2.800       -3.191950643        2520             25200            13129620
    2.900       -3.192011452        2610             26100            13598535
    3.000       -3.192067517        2700             27000            14067450
    3.100       -3.192119292        2790             27900            14536365
    3.200       -3.192167179        2880             28800            15005280
    3.300       -3.192211532        2970             29700            15474195
    3.400       -3.192252665        3060             30600            15943110
    3.500       -3.192290860        3150             31500            16412025
    3.600       -3.192326367        3240             32400            16880940
    3.700       -3.192359411        3330             33300            17349855
    3.800       -3.192390197        3420             34200            17818770
    3.900       -3.192418907        3510             35100            18287685
    4.000       -3.192445708        3600             36000            18756600
    4.100       -3.192470750        3690             36900            19225515
    4.200       -3.192494172        3780             37800            19694430
    4.300       -3.192516098        3870             38700            20163345
    4.400       -3.192536643        3960             39600            20632260
    4.500       -3.192555912        4050             40500            21101175
    4.600       -3.192574000        4140             41400            21570090
    4.700       -3.192590995        4230             42300            22039005
    4.800       -3.192606978        4320             43200            22507920
    4.900       -3.192622023        4410             44100            22976835
    5.000       -3.192636198        4500             45000            23445750
    5.100       -3.192649567        4590             45900            23914665
    5.200       -3.192662187        4680             46800            24383580
    5.300       -3.192674112        4770             47700            24852495
    5.400       -3.192685392        4860             48600            25321410
    5.500       -3.192696072        4950             49500            25790325
    5.600       -3.192706195        5040             50400            26259240
    5.700       -3.192715799        5130             51300            26728155
    5.800       -3.192724920        5220             52200            27197070
    5.900       -3.192733594        5310             53100            27665985
    6.000       -3.192741850        5400             54000            28134900
    6.100       -3.192749717        5490             54900            28603815
    6.200       -3.192757222        5580             55800            29072730
    6.300       -3.192764391        5670             56700            29541645
    6.400       -3.192771246        5760             57600            30010560
    6.500       -3.192777808        5850             58500            30479475
    6.600       -3.192784098        5940             59400            30948390
    6.700       -3.192790134        6030             60300            31417305
    6.800       -3.192795932        6120             61200            31886220
    6.900       -3.192801511        6210             62100            32355135
    7.000       -3.192806883        6300             63000            32824050
    7.100       -3.192812063        6390             63900            33292965
    7.200       -3.192817064        6480             64800            33761880
    7.300       -3.192821898        6570             65700            34230795
    7.400       -3.192826576        6660             66600            34699710
    7.500       -3.192831108        6750             67500            35168625
    7.600       -3.192835505        6840             68400            35637540
    7.700       -3.192839774        6930             69300            36106455
    7.800       -3.192843926        7020             70200            36575370
    7.900       -3.192847966        7110             71100            37044285
    8.000       -3.192851903        7200             72000            37513200
    8.100       -3.192855744        7290             72900            37982115
    8.200       -3.192859494        7380             73800            38451030
    8.300       -3.192863160        7470             74700            38919945
    8.400       -3.192866747        7560             75600            39388860
    8.500       -3.192870261        7650             76500            39857775
    8.600       -3.192873705        7740             77400            40326690
    8.700       -3.192877086        7830             78300            40795605
    8.800       -3.192880406        7920             79200            41264520
    8.900       -3.192883669        8010             80100            41733435
    9.000       -3.192886880        8100             81000            42202350
    9.100       -3.192890042        8190             81900            42671265
    9.200       -3.192893157        8280             82800            43140180
    9.300       -3.192896230        8370             83700            43609095
    9.400       -3.192899261        8460             84600            44078010
    9.500       -3.192902255        8550             85500            44546925
    9.600       -3.192905213        8640             86400            45015840
    9.700       -3.192908138        8730             87300            45484755
    9.800       -3.192911031        8820             88200            45953670
    9.900       -3.192913895        8910             89100            46422585
   10.000       -3.192916732        9000             90000            46891500
