#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.161032396           3                26               13764
    0.200       -3.165535558           6              6900               27528
    0.300       -3.168620608           8             13772               37627
    0.400       -3.171294700          10             20632               47726
    0.500       -3.173829963          12             27504               57825
    0.600       -3.176273562          14             34360               67924
    0.700       -3.177479647          15             41198               74614
    0.800       -3.178627047          16             48024               81304
    0.900       -3.179610845          17             54842               87994
    1.000       -3.180615272          18             61672               94684
    1.100       -3.181646523          19             68490              101374
    1.200       -3.182665170          20             75308              108064
    1.300       -3.183595958          21             82150              114754
    1.400       -3.183595958          21             88986              118099
    1.500       -3.183595958          21             95778              121444
