#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.176951034          31               504              166112
    0.200       -3.192589761          62              1000              332224
    0.300       -3.204294560          91              1456              483326
    0.400       -3.213253158         119              1894              628523
    0.500       -3.220179277         145              2292              758646
    0.600       -3.225647496         169              2660              877343
    0.700       -3.229982246         191              3006              982758
    0.800       -3.233413387         210              3284             1070810
    0.900       -3.236227151         228              3564             1153885
    1.000       -3.238509841         244              3796             1225182
    1.100       -3.240365377         258              4004             1286077
    1.200       -3.241888505         270              4186             1337882
    1.300       -3.243154615         280              4336             1380245
    1.400       -3.244174960         288              4458             1414254
    1.500       -3.245051355         295              4560             1443958
    1.600       -3.245785919         301              4644             1469549
    1.700       -3.246408536         306              4710             1491155
    1.800       -3.246910969         310              4758             1508584
    1.900       -3.247367573         314              4824             1525885
    2.000       -3.247736728         317              4868             1539713
    2.100       -3.248074319         320              4900             1553285
    2.200       -3.248384195         323              4928             1566857
    2.300       -3.248618938         325              4954             1577020
    2.400       -3.248828638         327              4976             1587183
    2.500       -3.249018052         329              5002             1597282
    2.600       -3.249190647         331              5028             1607381
    2.700       -3.249347933         333              5052             1617672
    2.800       -3.249491832         335              5072             1627771
    2.900       -3.249625398         337              5088             1637870
    3.000       -3.249748511         339              5112             1647969
    3.100       -3.249863104         341              5140             1658068
    3.200       -3.249921478         342              5146             1664758
    3.300       -3.249969467         343              5168             1671448
    3.400       -3.250018467         344              5190             1678138
    3.500       -3.250065495         345              5202             1684828
