#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.176951034          31              7296              166112
    0.200       -3.192589761          62              8800              332224
    0.300       -3.204294560          91             10248              483326
    0.400       -3.213253158         119             11598              628523
    0.500       -3.220179277         145             12872              758646
    0.600       -3.225647496         169             14036              877343
    0.700       -3.229982246         191             15118              982758
    0.800       -3.233413387         210             16088             1070810
    0.900       -3.236227151         228             16924             1153885
    1.000       -3.238509841         244             17716             1225182
    1.100       -3.240365377         258             18388             1286077
    1.200       -3.241888505         270             18986             1337882
    1.300       -3.243154615         280             19500             1380245
    1.400       -3.244174960         288             19922             1414254
    1.500       -3.245051355         295             20268             1443958
    1.600       -3.245785919         301             20556             1469549
    1.700       -3.246408536         306             20790             1491155
    1.800       -3.246910969         310             20970             1508584
    1.900       -3.247367573         314             21132             1525885
    2.000       -3.247736728         317             21308             1539713
    2.100       -3.248074319         320             21428             1553285
    2.200       -3.248384195         323             21520             1566857
    2.300       -3.248618938         325             21602             1577020
    2.400       -3.248828638         327             21676             1587183
    2.500       -3.249018052         329             21746             1597282
    2.600       -3.249190647         331             21824             1607381
    2.700       -3.249347933         333             21900             1617672
    2.800       -3.249491832         335             21968             1627771
    2.900       -3.249625398         337             22024             1637870
    3.000       -3.249748511         339             22080             1647969
    3.100       -3.249863104         341             22156             1658068
    3.200       -3.249921478         342             22218             1664758
    3.300       -3.249969467         343             22252             1671448
    3.400       -3.250018467         344             22318             1678138
    3.500       -3.250065495         345             22374             1684828
    3.600       -3.250065495         345             22398             1688173
    3.700       -3.250065495         345             22398             1691518
    3.800       -3.250065495         345             22398             1694863
    3.900       -3.250065495         345             22398             1698208
    4.000       -3.250065495         345             22398             1701553
    4.100       -3.250065495         345             22398             1704898
    4.200       -3.250065495         345             22398             1708243
    4.300       -3.250065495         345             22398             1711588
    4.400       -3.250065495         345             22398             1714933
    4.500       -3.250065495         345             22398             1718278
    4.600       -3.250065495         345             22398             1721623
    4.700       -3.250065495         345             22398             1724968
    4.800       -3.250065495         345             22398             1728313
    4.900       -3.250065495         345             22398             1731658
    5.000       -3.250065495         345             22398             1735003
    5.100       -3.250065495         345             22398             1738348
    5.200       -3.250065495         345             22398             1741693
    5.300       -3.250065495         345             22398             1745038
    5.400       -3.250065495         345             22398             1748383
    5.500       -3.250065495         345             22398             1751728
    5.600       -3.250065495         345             22398             1755073
    5.700       -3.250065495         345             22398             1758418
    5.800       -3.250065495         345             22398             1761763
    5.900       -3.250065495         345             22398             1765108
    6.000       -3.250065495         345             22398             1768453
    6.100       -3.250065495         345             22398             1771798
    6.200       -3.250065495         345             22398             1775143
    6.300       -3.250065495         345             22398             1778488
    6.400       -3.250065495         345             22398             1781833
    6.500       -3.250065495         345             22398             1785178
    6.600       -3.250065495         345             22398             1788523
    6.700       -3.250065495         345             22398             1791868
    6.800       -3.250065495         345             22398             1795213
    6.900       -3.250065495         345             22398             1798558
    7.000       -3.250065495         345             22398             1801903
    7.100       -3.250065495         345             22398             1805248
    7.200       -3.250065495         345             22398             1808593
    7.300       -3.250065495         345             22398             1811938
    7.400       -3.250065495         345             22398             1815283
    7.500       -3.250065495         345             22398             1818628
    7.600       -3.250065495         345             22398             1821973
    7.700       -3.250065495         345             22398             1825318
    7.800       -3.250065495         345             22398             1828663
    7.900       -3.250065495         345             22398             1832008
    8.000       -3.250065495         345             22398             1835353
    8.100       -3.250065495         345             22398             1838698
    8.200       -3.250065495         345             22398             1842043
    8.300       -3.250065495         345             22398             1845388
    8.400       -3.250065495         345             22398             1848733
    8.500       -3.250065495         345             22398             1852078
    8.600       -3.250065495         345             22398             1855423
    8.700       -3.250065495         345             22398             1858768
    8.800       -3.250065495         345             22398             1862113
    8.900       -3.250065495         345             22398             1865458
    9.000       -3.250065495         345             22398             1868803
    9.100       -3.250065495         345             22398             1872148
    9.200       -3.250065495         345             22398             1875493
    9.300       -3.250065495         345             22398             1878838
    9.400       -3.250065495         345             22398             1882183
    9.500       -3.250065495         345             22398             1885528
    9.600       -3.250065495         345             22398             1888873
    9.700       -3.250065495         345             22398             1892218
    9.800       -3.250065495         345             22398             1895563
    9.900       -3.250065495         345             22398             1898908
   10.000       -3.250065495         345             22398             1902253
   10.100       -3.250065495         345             22398             1905598
   10.200       -3.250065495         345             22398             1908943
   10.300       -3.250065495         345             22398             1912288
   10.400       -3.250065495         345             22398             1915633
   10.500       -3.250065495         345             22398             1918978
   10.600       -3.250065495         345             22398             1922323
   10.700       -3.250065495         345             22398             1925668
   10.800       -3.250065495         345             22398             1929013
   10.900       -3.250065495         345             22398             1932358
   11.000       -3.250065495         345             22398             1935703
