#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.161032396           3              6818               13764
    0.200       -3.165535558           6              6900               27528
    0.300       -3.168620608           8              6980               37627
    0.400       -3.171294700          10              7048               47726
    0.500       -3.173829963          12              7128               57825
    0.600       -3.176273562          14              7192               67924
    0.700       -3.177479647          15              7238               74614
    0.800       -3.178627047          16              7272               81304
    0.900       -3.179610845          17              7298               87994
    1.000       -3.180615272          18              7336               94684
    1.100       -3.181646523          19              7362              101374
    1.200       -3.182665170          20              7388              108064
    1.300       -3.183595958          21              7438              114754
    1.400       -3.183595958          21              7482              118099
    1.500       -3.183595958          21              7482              121444
    1.600       -3.183595958          21              7482              124789
    1.700       -3.183595958          21              7482              128134
    1.800       -3.183595958          21              7482              131479
    1.900       -3.183595958          21              7482              134824
    2.000       -3.183595958          21              7482              138169
    2.100       -3.183595958          21              7482              141514
    2.200       -3.183595958          21              7482              144859
    2.300       -3.183595958          21              7482              148204
    2.400       -3.183595958          21              7482              151549
    2.500       -3.183595958          21              7482              154894
    2.600       -3.183595958          21              7482              158239
    2.700       -3.183595958          21              7482              161584
    2.800       -3.183595958          21              7482              164929
    2.900       -3.183595958          21              7482              168274
    3.000       -3.183595958          21              7482              171619
    3.100       -3.183595958          21              7482              174964
    3.200       -3.183595958          21              7482              178309
    3.300       -3.183595958          21              7482              181654
    3.400       -3.183595958          21              7482              184999
    3.500       -3.183595958          21              7482              188344
    3.600       -3.183595958          21              7482              191689
    3.700       -3.183595958          21              7482              195034
    3.800       -3.183595958          21              7482              198379
    3.900       -3.183595958          21              7482              201724
    4.000       -3.183595958          21              7482              205069
    4.100       -3.183595958          21              7482              208414
    4.200       -3.183595958          21              7482              211759
    4.300       -3.183595958          21              7482              215104
    4.400       -3.183595958          21              7482              218449
    4.500       -3.183595958          21              7482              221794
    4.600       -3.183595958          21              7482              225139
    4.700       -3.183595958          21              7482              228484
    4.800       -3.183595958          21              7482              231829
    4.900       -3.183595958          21              7482              235174
    5.000       -3.183595958          21              7482              238519
    5.100       -3.183595958          21              7482              241864
    5.200       -3.183595958          21              7482              245209
    5.300       -3.183595958          21              7482              248554
    5.400       -3.183595958          21              7482              251899
    5.500       -3.183595958          21              7482              255244
    5.600       -3.183595958          21              7482              258589
    5.700       -3.183595958          21              7482              261934
    5.800       -3.183595958          21              7482              265279
    5.900       -3.183595958          21              7482              268624
    6.000       -3.183595958          21              7482              271969
    6.100       -3.183595958          21              7482              275314
    6.200       -3.183595958          21              7482              278659
    6.300       -3.183595958          21              7482              282004
    6.400       -3.183595958          21              7482              285349
    6.500       -3.183595958          21              7482              288694
    6.600       -3.183595958          21              7482              292039
    6.700       -3.183595958          21              7482              295384
    6.800       -3.183595958          21              7482              298729
    6.900       -3.183595958          21              7482              302074
    7.000       -3.183595958          21              7482              305419
    7.100       -3.183595958          21              7482              308764
    7.200       -3.183595958          21              7482              312109
    7.300       -3.183595958          21              7482              315454
    7.400       -3.183595958          21              7482              318799
    7.500       -3.183595958          21              7482              322144
    7.600       -3.183595958          21              7482              325489
    7.700       -3.183595958          21              7482              328834
    7.800       -3.183595958          21              7482              332179
    7.900       -3.183595958          21              7482              335524
    8.000       -3.183595958          21              7482              338869
    8.100       -3.183595958          21              7482              342214
    8.200       -3.183595958          21              7482              345559
    8.300       -3.183595958          21              7482              348904
    8.400       -3.183595958          21              7482              352249
    8.500       -3.183595958          21              7482              355594
    8.600       -3.183595958          21              7482              358939
    8.700       -3.183595958          21              7482              362284
    8.800       -3.183595958          21              7482              365629
    8.900       -3.183595958          21              7482              368974
    9.000       -3.183595958          21              7482              372319
    9.100       -3.183595958          21              7482              375664
    9.200       -3.183595958          21              7482              379009
    9.300       -3.183595958          21              7482              382354
    9.400       -3.183595958          21              7482              385699
    9.500       -3.183595958          21              7482              389044
    9.600       -3.183595958          21              7482              392389
    9.700       -3.183595958          21              7482              395734
    9.800       -3.183595958          21              7482              399079
    9.900       -3.183595958          21              7482              402424
   10.000       -3.183595958          21              7482              405769
   10.100       -3.183595958          21              7482              409114
   10.200       -3.183595958          21              7482              412459
   10.300       -3.183595958          21              7482              415804
   10.400       -3.183595958          21              7482              419149
   10.500       -3.183595958          21              7482              422494
   10.600       -3.183595958          21              7482              425839
   10.700       -3.183595958          21              7482              429184
   10.800       -3.183595958          21              7482              432529
   10.900       -3.183595958          21              7482              435874
   11.000       -3.183595958          21              7482              439219
