#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.178767752         117              1842             1071078
    0.200       -3.195605729         234              3684             2142156
    0.300       -3.208215578         351              5526             3213234
    0.400       -3.217780586         468              7368             4284312
    0.500       -3.225127709         585              9210             5355390
    0.600       -3.230839684         702             11052             6426468
    0.700       -3.235331416         819             12894             7497546
    0.800       -3.238901660         936             14736             8568624
    0.900       -3.241768035        1053             16578             9639702
    1.000       -3.244090879        1170             18420            10710780
    1.100       -3.245989650        1287             20262            11781858
    1.200       -3.247554305        1404             22104            12852936
    1.300       -3.248853285        1521             23946            13924014
    1.400       -3.249939172        1638             25788            14995092
    1.500       -3.250852742        1755             27630            16066170
    1.600       -3.251625897        1872             29472            17137248
    1.700       -3.252283807        1989             31314            18208326
    1.800       -3.252846491        2106             33156            19279404
    1.900       -3.253329992        2223             34998            20350482
    2.000       -3.253747260        2340             36840            21421560
    2.100       -3.254108822        2457             38682            22492638
    2.200       -3.254423287        2574             40524            23563716
    2.300       -3.254697743        2691             42366            24634794
    2.400       -3.254938056        2808             44208            25705872
    2.500       -3.255149111        2925             46050            26776950
    2.600       -3.255334994        3042             47892            27848028
    2.700       -3.255499141        3159             49734            28919106
    2.800       -3.255644453        3276             51576            29990184
    2.900       -3.255773392        3393             53418            31061262
    3.000       -3.255888055        3510             55260            32132340
    3.100       -3.255990235        3627             57102            33203418
    3.200       -3.256081468        3744             58944            34274496
    3.300       -3.256163080        3861             60786            35345574
    3.400       -3.256236214        3978             62628            36416652
    3.500       -3.256301859        4095             64470            37487730
    3.600       -3.256360878        4212             66312            38558808
    3.700       -3.256414019        4329             68154            39629886
    3.800       -3.256461937        4446             69996            40700964
    3.900       -3.256505204        4563             71838            41772042
    4.000       -3.256544324        4680             73680            42843120
    4.100       -3.256579738        4797             75522            43914198
    4.200       -3.256611837        4914             77364            44985276
    4.300       -3.256640962        5031             79206            46056354
    4.400       -3.256667420        5148             81048            47127432
    4.500       -3.256691478        5265             82890            48198510
    4.600       -3.256713378        5382             84732            49269588
    4.700       -3.256733330        5499             86574            50340666
    4.800       -3.256751526        5616             88416            51411744
    4.900       -3.256768133        5733             90258            52482822
    5.000       -3.256783304        5850             92100            53553900
    5.100       -3.256797173        5967             93942            54624978
    5.200       -3.256809862        6084             95784            55696056
    5.300       -3.256821480        6201             97626            56767134
    5.400       -3.256832123        6318             99468            57838212
    5.500       -3.256841881        6435            101310            58909290
    5.600       -3.256850832        6552            103152            59980368
    5.700       -3.256859048        6669            104994            61051446
    5.800       -3.256866593        6786            106836            62122524
    5.900       -3.256873527        6903            108678            63193602
    6.000       -3.256879901        7020            110520            64264680
