#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.632485833           0             87056                   0
    0.100       -4.678470520         375            107156            82011000
    0.200       -4.718611700         766            128136           167373832
    0.300       -4.753618882        1479            168332           558116320
    0.400       -4.784166024        2556            230004          1459984696
    0.500       -4.810854847        3868            305884          2766657632
    0.600       -4.834215343        5342            391944          4383670728
    0.700       -4.854707086        6939            485408          6254260624
    0.800       -4.872726149        8640            585256          8351344216
    0.900       -4.888611640       10432            690824         10655695232
    1.000       -4.902653380       12307            801748         13160101496
    1.100       -4.915097362       14264            917676         15861893952
    1.200       -4.926153579       16309           1039136         18788992032
    1.300       -4.936001241       18452           1166476         21978276400
    1.400       -4.944793520       20714           1300944         25598243320
    1.500       -4.952662208       23113           1444204         30067319104
    1.600       -4.959719906       25665           1597032         35922038344
    1.700       -4.966064535       28381           1760320         43967461232
    1.800       -4.971779431       31254           1933852         54909056456
    1.900       -4.976936016       34278           2117512         69110600912
    2.000       -4.981596271       37440           2310212         86970357752
    2.100       -4.985814588       40739           2512024        108188776448
    2.200       -4.989639131       44166           2721892        132653205816
    2.300       -4.993110979       47706           2938836        161802230160
    2.400       -4.996266904       51340           3161820        193287969736
    2.500       -4.999139688       55070           3391204        228612201920
    2.600       -5.001758654       58875           3625024        267078972984
    2.700       -5.004148122       62754           3863996        308166875160
    2.800       -5.006330562       66698           4107180        352082838456
    2.900       -5.008326584       70701           4354136        398839194064
    3.000       -5.010153398       74755           4604512        448170716480
    3.100       -5.011828397       78854           4857608        500029576416
    3.200       -5.013364585       82985           5113052        552843915264
    3.300       -5.014775605       87155           5370572        609366872976
    3.400       -5.016072417       91348           5630052        667353111864
    3.500       -5.017265697       95569           5890908        726652428432
    3.600       -5.018364636       99817           6154092        788244250200
    3.700       -5.019378229      104082           6418284        850927351152
    3.800       -5.020313441      108355           6683064        915262618456
    3.900       -5.021177434      112632           6947360        981767139616
    4.000       -5.021976267      116928           7213640        1049876676448
    4.100       -5.022715692      121233           7480820        1120378702378
    4.200       -5.023400930      125535           7747508        1195226100868
    4.300       -5.024036352      129844           8014820        1270130246630
    4.400       -5.024626085      134155           8281576        1348506134072
    4.500       -5.025173931      138468           8549124        1430995761290
    4.600       -5.025683584      142782           8816648        1514004420842
    4.700       -5.026157634      147101           9084548        1600552698866
    4.800       -5.026599763      151418           9351892        1692124873706
    4.900       -5.027011884      155732           9619208        1786924418282
    5.000       -5.027396786      160049           9887228        1884283947218
    5.100       -5.027756581      164356          10153584        1987042728668
    5.200       -5.028092872      168665          10420808        2091439228830
    5.300       -5.028407848      172969          10687248        2206325866326
    5.400       -5.028702934      177280          10954548        2319141603678
    5.500       -5.028979692      181586          11221104        2436980853238
