#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.632485833           0             87056                   0
    0.100       -4.676566814         242            100040            51894480
    0.200       -4.715105096         484            113092           103788960
    0.300       -4.748743154         726            126080           155683440
    0.400       -4.778088748         967            139028           207355768
    0.500       -4.803751486        1209            151896           259250248
    0.600       -4.826205004        1452            164828           311366944
    0.700       -4.845903967        1695            177716           363483640
    0.800       -4.863216787        1938            190568           415600336
    0.900       -4.878481515        2181            203356           467717032
    1.000       -4.891970437        2424            216172           519833728
    1.100       -4.903925175        2666            228976           571728208
    1.200       -4.914554268        2908            241784           623622688
    1.300       -4.924028010        3149            254620           674961920
    1.400       -4.932514163        3389            266996           725579930
    1.500       -4.940134601        3628            279300           775809866
    1.600       -4.947013476        3867            291700           825707330
    1.700       -4.953218644        4103            303796           874940258
    1.800       -4.958835191        4338            315864           923951802
    1.900       -4.963936313        4571            327992           972520770
    2.000       -4.968575801        4803            339976          1020868546
    2.100       -4.972786427        5032            351604          1068553130
    2.200       -4.976636980        5259            363376          1115795906
    2.300       -4.980140642        5483            375076          1165359482
    2.400       -4.983352502        5703            386316          1213374066
    2.500       -4.986283253        5919            397320          1263656364
    2.600       -4.988983201        6132            408480          1316601990
    2.700       -4.991452844        6339            419120          1376583120
    2.800       -4.993722137        6541            429568          1438979440
    2.900       -4.995812515        6737            439744          1499183570
    3.000       -4.997735454        6928            449716          1561803578
    3.100       -4.999511665        7113            459396          1623747722
    3.200       -5.001149573        7292            468796          1684342634
    3.300       -5.002661956        7463            477588          1746509954
    3.400       -5.004055870        7630            486400          1807777274
    3.500       -5.005346521        7790            494660          1864785114
    3.600       -5.006542380        7944            502672          1923134506
    3.700       -5.007647710        8092            510384          1979470514
    3.800       -5.008658652        8234            517872          2030131674
    3.900       -5.009601363        8371            525000          2083012434
    4.000       -5.010470108        8502            531904          2136553986
    4.100       -5.011275552        8628            538420          2189649954
    4.200       -5.012026930        8749            544768          2236990066
    4.300       -5.012723320        8865            550580          2292200698
    4.400       -5.013371144        8976            556524          2336345650
    4.500       -5.013968623        9082            562172          2379385922
    4.600       -5.014527718        9183            567376          2431250834
    4.700       -5.015047822        9280            572152          2478907722
    4.800       -5.015533121        9374            576944          2530538194
    4.900       -5.015985040        9464            581724          2576649874
    5.000       -5.016404404        9550            586356          2631159106
    5.100       -5.016798347        9632            590708          2677478666
    5.200       -5.017163543        9711            594760          2729095698
    5.300       -5.017505547        9787            598572          2780706586
    5.400       -5.017823870        9861            602336          2833205698
    5.500       -5.018124294        9933            606040          2884594114
    5.600       -5.018405433       10003            609752          2934214658
    5.700       -5.018669866       10072            613196          2983607930
    5.800       -5.018925131       10140            616884          3030796514
    5.900       -5.019157846       10205            620316          3085291538
    6.000       -5.019375742       10269            623456          3140226450
    6.100       -5.019581029       10331            626760          3192712506
    6.200       -5.019768677       10392            629784          3261116314
    6.300       -5.019954183       10453            632928          3322088114
    6.400       -5.020127772       10513            636004          3382155818
    6.500       -5.020293945       10572            639156          3437313074
    6.600       -5.020445872       10630            642048          3494244858
    6.700       -5.020594968       10687            644920          3538336818
    6.800       -5.020734038       10743            647668          3592150986
    6.900       -5.020865460       10799            650404          3651988026
    7.000       -5.020993268       10855            653324          3709814178
    7.100       -5.021110561       10910            656104          3767416450
    7.200       -5.021226531       10965            658808          3819013130
    7.300       -5.021335152       11020            661500          3867292890
    7.400       -5.021435408       11074            664300          3935457522
    7.500       -5.021532882       11128            666940          3990825666
    7.600       -5.021626164       11182            669632          4058990298
    7.700       -5.021715393       11235            672272          4114135266
    7.800       -5.021801116       11288            674976          4179363474
    7.900       -5.021881512       11340            677656          4245716074
    8.000       -5.021958279       11391            680204          4316599906
    8.100       -5.022032413       11442            682892          4382731954
    8.200       -5.022102358       11491            685524          4447728026
    8.300       -5.022170845       11540            688052          4506667242
    8.400       -5.022235227       11587            690432          4563139170
    8.500       -5.022298466       11634            692896          4619622618
    8.600       -5.022355551       11680            695368          4681249546
    8.700       -5.022413018       11725            697796          4736616538
    8.800       -5.022464927       11769            700032          4801160434
    8.900       -5.022510486       11811            702072          4863906250
    9.000       -5.022563501       11853            704052          4911951826
    9.100       -5.022608084       11894            706252          4970436178
    9.200       -5.022652721       11934            708400          5027354138
    9.300       -5.022690267       11973            710312          5086050722
    9.400       -5.022728376       12012            712204          5146098458
    9.500       -5.022765914       12050            714152          5199231194
    9.600       -5.022805205       12088            716148          5251696898
    9.700       -5.022841666       12125            718188          5304607098
    9.800       -5.022873851       12160            719948          5359063722
    9.900       -5.022910510       12195            721692          5397677466
   10.000       -5.022942259       12229            723520          5451916930
   10.100       -5.022970617       12262            725012          5497975234
   10.200       -5.022996575       12295            726588          5556004978
   10.300       -5.023025727       12328            728328          5608025674
   10.400       -5.023057981       12360            729876          5641431802
   10.500       -5.023082412       12391            731596          5700351434
   10.600       -5.023104802       12420            733052          5740263338
   10.700       -5.023124194       12449            734588          5797391930
   10.800       -5.023149311       12478            736104          5834696762
   10.900       -5.023168535       12506            737416          5873085666
   11.000       -5.023187561       12534            738800          5918036410
   11.100       -5.023209381       12561            740152          5950353538
   11.200       -5.023227807       12588            741580          5993112394
   11.300       -5.023246696       12614            742912          6031719226
   11.400       -5.023267613       12640            744224          6066414298
   11.500       -5.023281778       12665            745512          6112680482
   11.600       -5.023297376       12690            746772          6154342722
   11.700       -5.023311789       12714            748004          6190552794
   11.800       -5.023327298       12737            749156          6225893202
   11.900       -5.023341967       12760            750332          6262538298
   12.000       -5.023353944       12783            751436          6301793922
   12.100       -5.023369422       12805            752484          6332381578
   12.200       -5.023382432       12827            753700          6375353498
