#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.616376820           0             45288                   0
    0.500       -4.779676622         198             55888            22564080
    1.000       -4.837239134        1353            124696           963768840
    1.500       -4.863598389        4085            294760         27419118792
    2.000       -4.877728772        8048            545956        162607650456
    2.500       -4.886094752       12950            859780        701511847080
    3.000       -4.891362827       18163           1195952        1609467892560
    3.500       -4.894827328       23401           1533448        2867679345384
    4.000       -4.897174267       28492           1860592        4258959107808
    4.500       -4.898798481       33437           2177992        5648716113664
    5.000       -4.899942084       38054           2473732        7095763242976
    5.500       -4.900757993       42467           2755496        8287256942560
    6.000       -4.901347943       46525           3013564        9229872914752
    6.500       -4.901778050       50321           3253392        10092353719880
    7.000       -4.902095047       53821           3473988        10792469032616
    7.500       -4.902330654       57039           3675824        11448463115456
    8.000       -4.902507106       60031           3863200        11969203389432
    8.500       -4.902640255       62755           4032072        12328972421832
    9.000       -4.902741507       65254           4186844        12631552300344
    9.500       -4.902819123       67542           4327936        12869028474816
   10.000       -4.902879067       69627           4455860        13035412866552
   10.500       -4.902925802       71545           4572748        13162561756576
   11.000       -4.902962230       73317           4680608        13273223576248
   11.500       -4.902990981       74956           4780136        13387160443280
   12.000       -4.903013919       76467           4871324        13447264838456
   12.500       -4.903032323       77865           4955380        13484539719080
   13.000       -4.903047036       79167           5033328        13525312776896
   13.500       -4.903058979       80382           5106324        13559460126824
   14.000       -4.903068875       81521           5174272        13580538894512
   14.500       -4.903076931       82594           5238336        13602782057936
   15.000       -4.903083852       83623           5299888        13615148557064
   15.500       -4.903089406       84591           5357432        13626167907824
   16.000       -4.903094069       85523           5412828        13634872769288
   16.500       -4.903098022       86409           5465372        13640803712064
   17.000       -4.903101399       87260           5515640        13646450726472
   17.500       -4.903104254       88076           5563764        13650764433288
   18.000       -4.903106677       88873           5610500        13654409635824
   18.500       -4.903108710       89647           5656136        13657179100056
   19.000       -4.903110540       90406           5700912        13661406453936
   19.500       -4.903112203       91148           5744552        13663260212392
   20.000       -4.903113534       91867           5786912        13665075352600
   20.500       -4.903114714       92573           5828400        13666490166224
   21.000       -4.903115755       93272           5869280        13668102395024
   21.500       -4.903116674       93963           5909932        13669844039232
   22.000       -4.903117499       94638           5949484        13670894029488
   22.500       -4.903118182       95303           5988484        13671798824784
   23.000       -4.903118843       95965           6027232        13672822796736
   23.500       -4.903119394       96618           6065624        13673825985336
   24.000       -4.903119879       97266           6103540        13674696505080
   24.500       -4.903120299       97912           6141284        13675423838176
   25.000       -4.903120765       98559           6179220        13676420181832
   25.500       -4.903121139       99196           6216524        13677096950168
   26.000       -4.903121476       99832           6253840        13677943901336
   26.500       -4.903121795      100463           6290640        13678724437440
   27.000       -4.903122076      101090           6327356        13679338149144
   27.500       -4.903122324      101712           6363812        13679967781696
   28.000       -4.903122584      102332           6400044        13680666335296
   28.500       -4.903122750      102946           6435968        13681404476776
   29.000       -4.903122944      103561           6471904        13681979321632
   29.500       -4.903123103      104174           6507648        13682554360256
   30.000       -4.903123239      104787           6543496        13683184702560
