#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.616376820           0             45288                   0
    0.500       -4.779010132         169             54108            19102408
    1.000       -4.836088128         805             90660           346309336
    1.500       -4.862142738        1824            151188          1313747728
    2.000       -4.876218297        3353            242764          7304105728
    2.500       -4.884591958        5172            353592         19180144808
    3.000       -4.889912400        7084            470012         40056649104
    3.500       -4.893448934        9061            590572         70417309200
    4.000       -4.895862420       11007            709240        113015561016
    4.500       -4.897559568       12850            821480        158225042176
    5.000       -4.898756812       14534            923692        196955146064
    5.500       -4.899628560       16113           1019908        234417645696
    6.000       -4.900263971       17530           1105500        264761126770
    6.500       -4.900731401       18786           1180600        294554860588
    7.000       -4.901077937       19889           1246792        315790929628
    7.500       -4.901340357       20879           1305996        337190745796
    8.000       -4.901535513       21722           1356176        351791003116
    8.500       -4.901684832       22453           1399448        359473519804
    9.000       -4.901799619       23093           1437016        365792015900
    9.500       -4.901888686       23648           1469480        371002677836
   10.000       -4.901957689       24126           1497268        375136366956
   10.500       -4.902010297       24543           1521396        378752031228
   11.000       -4.902050138       24905           1542308        380723435412
   11.500       -4.902081527       25222           1560448        381863960484
   12.000       -4.902104967       25493           1575596        382773564652
   12.500       -4.902124458       25741           1589592        383344906444
   13.000       -4.902139636       25963           1602060        383917088188
   13.500       -4.902151247       26159           1612892        384237866516
   14.000       -4.902160802       26346           1623236        384508843812
   14.500       -4.902168771       26518           1632704        384673987708
   15.000       -4.902175207       26685           1641820        384839301340
   15.500       -4.902180467       26842           1650356        384953644076
   16.000       -4.902184884       26993           1658504        385039514244
   16.500       -4.902188442       27140           1666448        385133086116
   17.000       -4.902191726       27284           1674316        385199526708
   17.500       -4.902194338       27424           1681828        385296363348
   18.000       -4.902196760       27562           1689196        385325460732
   18.500       -4.902199069       27697           1696308        385355202708
   19.000       -4.902200866       27831           1703524        385387425996
   19.500       -4.902202763       27965           1710644        385434902724
   20.000       -4.902204064       28095           1717604        385460081644
   20.500       -4.902205669       28227           1724708        385496109916
   21.000       -4.902207310       28358           1731672        385515313204
   21.500       -4.902208753       28489           1738672        385557278620
   22.000       -4.902209755       28617           1745508        385592036860
   22.500       -4.902210674       28745           1752380        385646977084
   23.000       -4.902211467       28870           1759048        385663012540
   23.500       -4.902212102       28994           1765720        385687364468
   24.000       -4.902212941       29119           1772416        385706561228
   24.500       -4.902213493       29244           1779088        385729589804
   25.000       -4.902213956       29368           1785748        385746642582
   25.500       -4.902214465       29491           1792368        385760450016
   26.000       -4.902214813       29612           1798864        385775408794
   26.500       -4.902215154       29733           1805360        385790367572
   27.000       -4.902215302       29853           1811776        385804515398
   27.500       -4.902215503       29973           1818180        385818663224
   28.000       -4.902215797       30093           1824596        385833158162
   28.500       -4.902216066       30213           1831032        385845929060
   29.000       -4.902216185       30332           1837416        385859961182
   29.500       -4.902216214       30451           1843768        385872273104
   30.000       -4.902216346       30570           1850140        385884929066
