#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.616376820           0             45288                   0
    0.500       -4.772350922         119             51492            13260408
    1.000       -4.825777449         252             58340            28140448
    1.500       -4.851127846         485             70740            86277922
    2.000       -4.864805419         739             84752           181179844
    2.500       -4.872796227         982             97624           271985164
    3.000       -4.877878986        1208            110032           376143788
    3.500       -4.881185127        1406            120712           471233252
    4.000       -4.883381220        1584            130316           569940684
    4.500       -4.884913385        1728            137948           656085732
    5.000       -4.885996984        1851            144648           724781934
    5.500       -4.886738916        1946            149876           781783704
    6.000       -4.887261715        2019            153940           824699896
    6.500       -4.887630295        2073            156744           856567888
    7.000       -4.887920476        2119            159280           889960082
    7.500       -4.888124020        2155            161240           913100540
    8.000       -4.888261339        2179            162648           930964148
    8.500       -4.888359089        2196            163644           937748324
    9.000       -4.888426357        2207            164232           941551292
    9.500       -4.888459947        2214            164592           946222164
   10.000       -4.888485111        2218            164780           947300836
   10.500       -4.888505112        2221            164924           948595780
   11.000       -4.888518868        2224            165060           952495972
   11.500       -4.888532164        2226            165160           953358244
   12.000       -4.888541735        2228            165256           955515460
   12.500       -4.888546806        2229            165304           957237956
   13.000       -4.888546806        2229            165304           957237956
   13.500       -4.888546806        2229            165304           957237956
   14.000       -4.888546806        2229            165304           957237956
   14.500       -4.888546806        2229            165304           957237956
   15.000       -4.888546806        2229            165304           957237956
   15.500       -4.888546806        2229            165304           957237956
   16.000       -4.888546806        2229            165304           957237956
   16.500       -4.888546806        2229            165304           957237956
   17.000       -4.888546806        2229            165304           957237956
   17.500       -4.888546806        2229            165304           957237956
   18.000       -4.888546806        2229            165304           957237956
   18.500       -4.888546806        2229            165304           957237956
   19.000       -4.888546806        2229            165304           957237956
   19.500       -4.888546806        2229            165304           957237956
   20.000       -4.888546806        2229            165304           957237956
   20.500       -4.888546806        2229            165304           957237956
   21.000       -4.888546806        2229            165304           957237956
   21.500       -4.888546806        2229            165304           957237956
   22.000       -4.888546806        2229            165304           957237956
   22.500       -4.888546806        2229            165304           957237956
   23.000       -4.888546806        2229            165304           957237956
   23.500       -4.888546806        2229            165304           957237956
   24.000       -4.888546806        2229            165304           957237956
   24.500       -4.888546806        2229            165304           957237956
   25.000       -4.888546806        2229            165304           957237956
   25.500       -4.888546806        2229            165304           957237956
   26.000       -4.888546806        2229            165304           957237956
   26.500       -4.888546806        2229            165304           957237956
   27.000       -4.888546806        2229            165304           957237956
   27.500       -4.888546806        2229            165304           957237956
   28.000       -4.888546806        2229            165304           957237956
   28.500       -4.888546806        2229            165304           957237956
   29.000       -4.888546806        2229            165304           957237956
   29.500       -4.888546806        2229            165304           957237956
   30.000       -4.888546806        2229            165304           957237956
