#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0             28496                   0
    0.100     -308.735662430         152             35008            13576640
    0.200     -308.746911460         304             41520            27153280
    0.300     -308.756686334         458             48128            40918416
    0.400     -308.765181832         620             55056            55297944
    0.500     -308.772572524         807             63128            74099264
    0.600     -308.779009974        1040             73580           111119680
    0.700     -308.784624945        1313             85864           166378816
    0.800     -308.789529743        1620             99584           238429056
    0.900     -308.793820821        1952            114600           323580896
    1.000     -308.797580951        2303            130552           419117984
    1.100     -308.800881217        2670            147272           523687264
    1.200     -308.803782460        3049            164636           634107720
    1.300     -308.806337198        3440            182564           751598768
    1.400     -308.808590463        3839            200944           873885464
    1.500     -308.810581068        4245            219524          1002258496
    1.600     -308.812342354        4654            238408          1130631912
    1.700     -308.813903301        5068            257428          1264881984
    1.800     -308.815288794        5485            276608          1398198504
    1.900     -308.816520342        5901            295688          1530893552
    2.000     -308.817616761        6318            314796          1667018792
    2.100     -308.818594262        6734            333884          1799132170
    2.200     -308.819467002        7150            353012          1933109772
    2.300     -308.820247299        7562            371716          2062635812
    2.400     -308.820945895        7974            390712          2194245460
    2.500     -308.821572259        8383            409508          2324348766
    2.600     -308.822134523        8789            428116          2452606664
    2.700     -308.822639900        9191            446496          2579906840
    2.800     -308.823094774        9590            464828          2705375624
    2.900     -308.823504656        9984            482964          2828832826
    3.000     -308.823874418       10371            500604          2946509332
    3.100     -308.824208464       10757            518164          3064260342
    3.200     -308.824510553       11138            535624          3182048214
    3.300     -308.824784053       11513            552768          3298046934
    3.400     -308.825031944       11882            569580          3413046120
    3.500     -308.825256880       12245            586124          3527700864
    3.600     -308.825461127       12601            602304          3635416112
    3.700     -308.825646902       12953            618376          3743528698
    3.800     -308.825816005       13297            633908          3857236860
    3.900     -308.825970042       13634            649152          3965210468
    4.000     -308.826110599       13966            664280          4072135918
    4.100     -308.826238916       14293            679076          4175445526
    4.200     -308.826356120       14612            693568          4277710512
    4.300     -308.826463345       14926            707752          4384821434
    4.400     -308.826561564       15234            721584          4485407722
    4.500     -308.826651571       15537            735284          4587825250
    4.600     -308.826734143       15831            748488          4689484444
    4.700     -308.826809873       16119            761332          4791871252
    4.800     -308.826879492       16401            774020          4882263862
