#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0              3920                   0
    0.100     -308.735652606         148             10224            13200416
    0.200     -308.746893216         296             16528            26400832
    0.300     -308.756659929         445             22888            39695208
    0.400     -308.765150711         596             29344            53177696
    0.500     -308.772535220         749             35904            66848552
    0.600     -308.778965796         913             42896            81275464
    0.700     -308.784573062        1101             51044           101203080
    0.800     -308.789470174        1318             60708           132174320
    0.900     -308.793754227        1563             71700           175335640
    1.000     -308.797508370        1831             83736           228933288
    1.100     -308.800803706        2119             96600           291454344
    1.200     -308.803701364        2423            110256           363504200
    1.300     -308.806253471        2739            124516           441370672
    1.400     -308.808505061        3063            139124           524249608
    1.500     -308.810494582        3395            154084           612844128
    1.600     -308.812255724        3734            169556           701779104
    1.700     -308.813816882        4077            185140           797037200
    1.800     -308.815202873        4423            200864           891671368
    1.900     -308.816435418        4771            216640           986999392
    2.000     -308.817533023        5119            232460          1083058066
    2.100     -308.818511918        5467            248360          1180582612
    2.200     -308.819386148        5814            264032          1275563508
    2.300     -308.820168012        6158            279644          1371377924
    2.400     -308.820868279        6500            295116          1465249892
    2.500     -308.821496189        6838            310396          1558361956
    2.600     -308.822060062        7173            325656          1649309118
    2.700     -308.822567079        7503            340528          1739059950
    2.800     -308.823023447        7827            355212          1827483816
    2.900     -308.823434641        8146            369388          1913306072
    3.000     -308.823805885        8459            383576          1997718616
    3.100     -308.824141291        8768            397544          2080196992
    3.200     -308.824444638        9069            411032          2157865800
    3.300     -308.824719305        9365            424252          2231003288
    3.400     -308.824968358        9655            437232          2305781482
    3.500     -308.825194314        9937            449840          2375412538
    3.600     -308.825399602       10212            462248          2445486258
    3.700     -308.825586380       10479            474112          2511066948
    3.800     -308.825756375       10738            485620          2576858924
    3.900     -308.825911297       10991            496940          2637844540
    4.000     -308.826052670       11237            507936          2699342998
    4.100     -308.826181844       11476            518476          2756361624
    4.200     -308.826299837       11708            528864          2816595704
    4.300     -308.826407864       11932            538860          2870395090
    4.400     -308.826506781       12147            548272          2923921650
    4.500     -308.826597442       12354            557504          2977636860
    4.600     -308.826680592       12552            566072          3025845996
    4.700     -308.826756986       12744            574644          3073703172
    4.800     -308.826827114       12928            582676          3120984884
    4.900     -308.826891644       13105            590384          3162392132
