#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0             28496                   0
    0.100     -308.735486815         127             33924            11242040
    0.200     -308.746577412         253             39324            22391528
    0.300     -308.756215203         379             44708            33541016
    0.400     -308.764596995         505             50120            44690504
    0.500     -308.771892895         631             55504            55839992
    0.600     -308.778249264         757             60852            66989480
    0.700     -308.783790513         882             66204            78046480
    0.800     -308.788629887        1007             71508            89103480
    0.900     -308.792863527        1132             76880           100160480
    1.000     -308.796572603        1257             82224           111217480
    1.100     -308.799823197        1381             87480           122182056
    1.200     -308.802681105        1505             92780           133146632
    1.300     -308.805197589        1629             97968           144111208
    1.400     -308.807419160        1753            103248           155075784
    1.500     -308.809381846        1877            108516           166040360
    1.600     -308.811117579        2000            113736           176912576
    1.700     -308.812659259        2124            118924           187877152
    1.800     -308.814029908        2248            124216           198841728
    1.900     -308.815248192        2371            129364           209575536
    2.000     -308.816334879        2494            134480           220309344
    2.100     -308.817307318        2617            139592           231043152
    2.200     -308.818177516        2740            144760           241638696
    2.300     -308.818958986        2862            149752           252004112
    2.400     -308.819660255        2983            154740           262277584
    2.500     -308.820292068        3104            159700           272688984
    2.600     -308.820861929        3224            164736           283975824
    2.700     -308.821376314        3343            169684           294616688
    2.800     -308.821841031        3461            174564           305165416
    2.900     -308.822261332        3578            179452           316868896
    3.000     -308.822641904        3692            184300           329269432
    3.100     -308.822987704        3804            189008           343879080
    3.200     -308.823301248        3913            193532           356512496
    3.300     -308.823587033        4018            198032           370388690
    3.400     -308.823846700        4119            202228           385091722
    3.500     -308.824082655        4215            206328           399320794
    3.600     -308.824297158        4307            210032           411415860
    3.700     -308.824493403        4395            213868           422999798
    3.800     -308.824671844        4478            217348           436144822
    3.900     -308.824834203        4557            220624           446895936
    4.000     -308.824983332        4632            223956           457485696
    4.100     -308.825119239        4702            226960           469555136
    4.200     -308.825242571        4767            229652           479776096
    4.300     -308.825355793        4828            232372           489630048
    4.400     -308.825458529        4884            234760           497666240
    4.500     -308.825552965        4937            237008           504356008
    4.600     -308.825639169        4986            239128           512301120
    4.700     -308.825718012        5032            241048           520245848
    4.800     -308.825790256        5075            242844           526044976
    4.900     -308.825857273        5115            244488           531843720
    5.000     -308.825918189        5152            246068           538174928
    5.100     -308.825973810        5186            247440           543972904
    5.200     -308.826025246        5218            248688           548799720
    5.300     -308.826072654        5248            249876           553978440
    5.400     -308.826116055        5275            250980           558892560
    5.500     -308.826155533        5300            252000           562059704
    5.600     -308.826192411        5324            252908           565400240
    5.700     -308.826226110        5346            253820           568307200
    5.800     -308.826257352        5367            254644           571387168
    5.900     -308.826286340        5387            255372           574120992
    6.000     -308.826312869        5406            256128           575737208
    6.100     -308.826338152        5425            256920           578125912
    6.200     -308.826360985        5442            257552           580600512
    6.300     -308.826382406        5459            258176           583075112
    6.400     -308.826401696        5475            258780           585205360
    6.500     -308.826420144        5491            259352           587335608
    6.600     -308.826436970        5506            259920           589379832
    6.700     -308.826452864        5520            260424           591595784
    6.800     -308.826466880        5533            261008           593211232
    6.900     -308.826480922        5546            261480           595857816
    7.000     -308.826493377        5558            261968           597387624
    7.100     -308.826505462        5570            262440           599431464
    7.200     -308.826515958        5581            262864           601132232
    7.300     -308.826526123        5591            263236           602490952
    7.400     -308.826535607        5601            263636           604106016
    7.500     -308.826544143        5610            263968           605635440
    7.600     -308.826552394        5619            264248           606908712
    7.700     -308.826560266        5628            264588           607926408
    7.800     -308.826567057        5636            264864           609114296
    7.900     -308.826573138        5644            265200           609791992
    8.000     -308.826579475        5652            265472           610979880
    8.100     -308.826585066        5659            265712           612338216
    8.200     -308.826590571        5666            265956           613952896
    8.300     -308.826595516        5672            266156           614970208
    8.400     -308.826599891        5678            266380           615732520
    8.500     -308.826604352        5684            266652           616749832
    8.600     -308.826608581        5690            266824           617257720
    8.700     -308.826612355        5696            267100           618020032
    8.800     -308.826615711        5701            267280           618443112
    8.900     -308.826619028        5706            267460           619120424
    9.000     -308.826622271        5711            267636           619797736
    9.100     -308.826625269        5716            267828           620220816
    9.200     -308.826628121        5721            267976           621408320
    9.300     -308.826630681        5725            268088           621746656
    9.400     -308.826633102        5729            268192           622084992
    9.500     -308.826635391        5733            268316           622677368
    9.600     -308.826637662        5737            268440           623269744
    9.700     -308.826639567        5741            268592           623608080
    9.800     -308.826641708        5745            268752           623946416
    9.900     -308.826643813        5749            268852           624284752
   10.000     -308.826645823        5753            268976           625131744
   10.100     -308.826647247        5756            269096           625639248
   10.200     -308.826648739        5759            269164           625892904
   10.300     -308.826649769        5762            269288           626146560
   10.400     -308.826651051        5765            269416           626654064
   10.500     -308.826652399        5768            269556           627670992
   10.600     -308.826653251        5770            269636           628347920
   10.700     -308.826654141        5772            269740           628770616
   10.800     -308.826655063        5774            269828           629193312
   10.900     -308.826655513        5775            269872           629531264
   11.000     -308.826655962        5776            269912           629869216
   11.100     -308.826656274        5777            269972           629953704
   11.200     -308.826656675        5778            270032           630038192
   11.300     -308.826657134        5779            270056           630122680
   11.400     -308.826657525        5780            270108           630207168
   11.500     -308.826657944        5781            270164           630291656
   11.600     -308.826658381        5782            270208           630376144
   11.700     -308.826658381        5782            270208           630376144
   11.800     -308.826658381        5782            270208           630376144
   11.900     -308.826658381        5782            270208           630376144
   12.000     -308.826658381        5782            270208           630376144
   12.100     -308.826658381        5782            270208           630376144
   12.200     -308.826658381        5782            270208           630376144
   12.300     -308.826658381        5782            270208           630376144
   12.400     -308.826658381        5782            270208           630376144
   12.500     -308.826658381        5782            270208           630376144
   12.600     -308.826658381        5782            270208           630376144
   12.700     -308.826658381        5782            270208           630376144
   12.800     -308.826658381        5782            270208           630376144
   12.900     -308.826658381        5782            270208           630376144
   13.000     -308.826658381        5782            270208           630376144
   13.100     -308.826658381        5782            270208           630376144
   13.200     -308.826658381        5782            270208           630376144
   13.300     -308.826658381        5782            270208           630376144
   13.400     -308.826658381        5782            270208           630376144
   13.500     -308.826658381        5782            270208           630376144
   13.600     -308.826658381        5782            270208           630376144
   13.700     -308.826658381        5782            270208           630376144
   13.800     -308.826658381        5782            270208           630376144
   13.900     -308.826658381        5782            270208           630376144
   14.000     -308.826658381        5782            270208           630376144
