#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
   14.000     -308.826773545       25480            542080          2176131800
   14.100     -308.826773756       25662            545952          2191557280
   14.200     -308.826773958       25844            549824          2206982760
   14.300     -308.826774150       26026            553696          2222408240
   14.400     -308.826774334       26208            557568          2237833720
   14.500     -308.826774509       26390            561440          2253259200
   14.600     -308.826774677       26572            565312          2268684680
   14.700     -308.826774838       26754            569184          2284110160
   14.800     -308.826774991       26936            573056          2299535640
   14.900     -308.826775137       27118            576928          2314961120
   15.000     -308.826775277       27300            580800          2330386600
   15.100     -308.826775411       27482            584672          2345812080
   15.200     -308.826775539       27664            588544          2361237560
   15.300     -308.826775662       27846            592416          2376663040
   15.400     -308.826775779       28028            596288          2392088520
   15.500     -308.826775891       28210            600160          2407514000
   15.600     -308.826775998       28392            604032          2422939480
   15.700     -308.826776100       28574            607904          2438364960
   15.800     -308.826776198       28756            611776          2453790440
   15.900     -308.826776292       28938            615648          2469215920
   16.000     -308.826776382       29120            619520          2484641400
   16.100     -308.826776468       29302            623392          2500066880
   16.200     -308.826776550       29484            627264          2515492360
   16.300     -308.826776629       29666            631136          2530917840
   16.400     -308.826776704       29848            635008          2546343320
   16.500     -308.826776776       30030            638880          2561768800
   16.600     -308.826776846       30212            642752          2577194280
   16.700     -308.826776912       30394            646624          2592619760
   16.800     -308.826776975       30576            650496          2608045240
   16.900     -308.826777036       30758            654368          2623470720
   17.000     -308.826777094       30940            658240          2638896200
   17.100     -308.826777150       31122            662112          2654321680
   17.200     -308.826777203       31304            665984          2669747160
   17.300     -308.826777254       31486            669856          2685172640
   17.400     -308.826777303       31668            673728          2700598120
   17.500     -308.826777350       31850            677600          2716023600
   17.600     -308.826777395       32032            681472          2731449080
   17.700     -308.826777438       32214            685344          2746874560
   17.800     -308.826777480       32396            689216          2762300040
   17.900     -308.826777519       32578            693088          2777725520
   18.000     -308.826777557       32760            696960          2793151000
   18.100     -308.826777594       32942            700832          2808576480
   18.200     -308.826777629       33124            704704          2824001960
   18.300     -308.826777662       33306            708576          2839427440
   18.400     -308.826777694       33488            712448          2854852920
   18.500     -308.826777725       33670            716320          2870278400
   18.600     -308.826777754       33852            720192          2885703880
   18.700     -308.826777782       34034            724064          2901129360
   18.800     -308.826777810       34216            727936          2916554840
   18.900     -308.826777836       34398            731808          2931980320
   19.000     -308.826777860       34580            735680          2947405800
   19.100     -308.826777884       34762            739552          2962831280
   19.200     -308.826777907       34944            743424          2978256760
   19.300     -308.826777929       35126            747296          2993682240
   19.400     -308.826777950       35308            751168          3009107720
   19.500     -308.826777970       35490            755040          3024533200
   19.600     -308.826777990       35672            758912          3039958680
   19.700     -308.826778008       35854            762784          3055384160
   19.800     -308.826778026       36036            766656          3070809640
   19.900     -308.826778043       36218            770528          3086235120
   20.000     -308.826778060       36400            774400          3101660600
   20.100     -308.826778075       36582            778272          3117086080
   20.200     -308.826778091       36764            782144          3132511560
   20.300     -308.826778105       36946            786016          3147937040
   20.400     -308.826778119       37128            789888          3163362520
   20.500     -308.826778132       37310            793760          3178788000
   20.600     -308.826778145       37492            797632          3194213480
   20.700     -308.826778157       37674            801504          3209638960
   20.800     -308.826778169       37856            805376          3225064440
   20.900     -308.826778180       38038            809248          3240489920
   21.000     -308.826778191       38220            813120          3255915400
   21.100     -308.826778202       38402            816992          3271340880
   21.200     -308.826778212       38584            820864          3286766360
   21.300     -308.826778221       38766            824736          3302191840
   21.400     -308.826778230       38948            828608          3317617320
   21.500     -308.826778239       39130            832480          3333042800
   21.600     -308.826778248       39312            836352          3348468280
   21.700     -308.826778256       39494            840224          3363893760
   21.800     -308.826778264       39676            844096          3379319240
   21.900     -308.826778271       39858            847968          3394744720
   22.000     -308.826778278       40040            851840          3410170200
   22.100     -308.826778285       40222            855712          3425595680
   22.200     -308.826778292       40404            859584          3441021160
   22.300     -308.826778298       40586            863456          3456446640
   22.400     -308.826778304       40768            867328          3471872120
   22.500     -308.826778310       40950            871200          3487297600
   22.600     -308.826778316       41132            875072          3502723080
   22.700     -308.826778321       41314            878944          3518148560
   22.800     -308.826778326       41496            882816          3533574040
   22.900     -308.826778331       41678            886688          3548999520
   23.000     -308.826778336       41860            890560          3564425000
   23.100     -308.826778340       42042            894432          3579850480
   23.200     -308.826778345       42224            898304          3595275960
   23.300     -308.826778349       42406            902176          3610701440
   23.400     -308.826778353       42588            906048          3626126920
   23.500     -308.826778357       42770            909920          3641552400
   23.600     -308.826778361       42952            913792          3656977880
   23.700     -308.826778364       43134            917664          3672403360
   23.800     -308.826778368       43316            921536          3687828840
   23.900     -308.826778371       43498            925408          3703254320
   24.000     -308.826778374       43680            929280          3718679800
   24.100     -308.826778377       43862            933152          3734105280
   24.200     -308.826778380       44044            937024          3749530760
   24.300     -308.826778383       44226            940896          3764956240
   24.400     -308.826778386       44408            944768          3780381720
   24.500     -308.826778388       44590            948640          3795807200
   24.600     -308.826778391       44772            952512          3811232680
   24.700     -308.826778393       44954            956384          3826658160
   24.800     -308.826778395       45136            960256          3842083640
   24.900     -308.826778397       45318            964128          3857509120
   25.000     -308.826778400       45500            968000          3872934600
   25.100     -308.826778402       45682            971872          3888360080
   25.200     -308.826778404       45864            975744          3903785560
   25.300     -308.826778405       46046            979616          3919211040
   25.400     -308.826778407       46228            983488          3934636520
   25.500     -308.826778409       46410            987360          3950062000
   25.600     -308.826778411       46592            991232          3965487480
   25.700     -308.826778412       46774            995104          3980912960
   25.800     -308.826778414       46956            998976          3996338440
   25.900     -308.826778415       47138           1002848          4011763920
   26.000     -308.826778416       47320           1006720          4027189400
   26.100     -308.826778418       47502           1010592          4042614880
   26.200     -308.826778419       47684           1014464          4058040360
   26.300     -308.826778420       47866           1018336          4073465840
   26.400     -308.826778422       48048           1022208          4088891320
   26.500     -308.826778423       48230           1026080          4104316800
   26.600     -308.826778424       48412           1029952          4119742280
   26.700     -308.826778425       48594           1033824          4135167760
   26.800     -308.826778426       48776           1037696          4150593240
   26.900     -308.826778427       48958           1041568          4166018720
   27.000     -308.826778428       49140           1045440          4181444200
   27.100     -308.826778429       49322           1049312          4196869680
   27.200     -308.826778429       49504           1053184          4212295160
   27.300     -308.826778430       49686           1057056          4227720640
   27.400     -308.826778431       49868           1060928          4243146120
   27.500     -308.826778432       50050           1064800          4258571600
   27.600     -308.826778433       50232           1068672          4273997080
   27.700     -308.826778433       50414           1072544          4289422560
   27.800     -308.826778434       50596           1076416          4304848040
   27.900     -308.826778435       50778           1080288          4320273520
   28.000     -308.826778435       50960           1084160          4335699000
   28.100     -308.826778436       51142           1088032          4351124480
   28.200     -308.826778436       51324           1091904          4366549960
   28.300     -308.826778437       51506           1095776          4381975440
   28.400     -308.826778437       51688           1099648          4397400920
   28.500     -308.826778438       51870           1103520          4412826400
   28.600     -308.826778438       52052           1107392          4428251880
   28.700     -308.826778439       52234           1111264          4443677360
   28.800     -308.826778439       52416           1115136          4459102840
   28.900     -308.826778440       52598           1119008          4474528320
   29.000     -308.826778440       52780           1122880          4489953800
   29.100     -308.826778441       52962           1126752          4505379280
   29.200     -308.826778441       53144           1130624          4520804760
   29.300     -308.826778441       53326           1134496          4536230240
   29.400     -308.826778442       53508           1138368          4551655720
   29.500     -308.826778442       53690           1142240          4567081200
   29.600     -308.826778442       53872           1146112          4582506680
   29.700     -308.826778443       54054           1149984          4597932160
   29.800     -308.826778443       54236           1153856          4613357640
   29.900     -308.826778443       54418           1157728          4628783120
   30.000     -308.826778443       54600           1161600          4644208600
