#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0              3920                   0
    0.100     -308.733735285          68              6752             5890976
    0.200     -308.743359018         137              9632            11870792
    0.300     -308.751722303         206             12516            17850608
    0.400     -308.759042363         275             15420            23830424
    0.500     -308.765410695         342             18160            29632624
    0.600     -308.770994513         408             20928            35346112
    0.700     -308.775894849         472             23628            40882368
    0.800     -308.780182509         534             26096            46241648
    0.900     -308.783943930         594             28604            51424208
    1.000     -308.787219846         651             30936            56342168
    1.100     -308.790136847         707             33180            61172056
    1.200     -308.792708722         761             35420            65825992
    1.300     -308.794977057         812             37592            70216480
    1.400     -308.796964865         859             39408            74256600
    1.500     -308.798728045         904             41188            78121920
    1.600     -308.800298341         946             42868            81725520
    1.700     -308.801702447         985             44512            85067976
    1.800     -308.802918605        1020             45912            88063136
    1.900     -308.804016672        1053             47236            90885032
    2.000     -308.804983320        1083             48444            93447512
    2.100     -308.805848324        1111             49532            95837368
    2.200     -308.806620525        1137             50580            98054856
    2.300     -308.807304452        1160             51544           100014272
    2.400     -308.807916236        1181             52352           101801960
    2.500     -308.808479306        1201             53264           103503880
    2.600     -308.808962077        1218             53964           104948880
    2.700     -308.809396597        1234             54560           106308368
    2.800     -308.809784255        1248             55176           107497024
    2.900     -308.810119160        1260             55632           108515104
    3.000     -308.810419899        1271             56016           109447992
    3.100     -308.810689746        1281             56420           110295752
    3.200     -308.810932003        1290             56740           111058448
    3.300     -308.811145640        1298             57028           111736144
    3.400     -308.811336965        1305             57288           112328904
    3.500     -308.811517870        1312             57536           112921664
    3.600     -308.811672602        1318             57744           113429552
    3.700     -308.811819232        1324             57924           113937440
    3.800     -308.811944244        1329             58128           114360520
    3.900     -308.812066486        1334             58300           114783600
    4.000     -308.812166702        1338             58432           115121936
    4.100     -308.812261807        1342             58552           115460272
    4.200     -308.812336571        1345             58620           115713928
    4.300     -308.812407628        1348             58732           115967584
    4.400     -308.812475290        1351             58856           116221240
    4.500     -308.812541507        1354             58916           116474896
    4.600     -308.812602182        1357             59016           116728552
    4.700     -308.812661315        1360             59128           116982208
    4.800     -308.812718897        1363             59228           117235864
    4.900     -308.812758413        1365             59284           117404904
    5.000     -308.812796039        1367             59320           117573944
    5.100     -308.812832084        1369             59356           117742984
    5.200     -308.812866551        1371             59408           117912024
    5.300     -308.812899524        1373             59460           118081064
    5.400     -308.812932863        1375             59508           118250104
    5.500     -308.812967573        1377             59548           118419144
    5.600     -308.812998107        1379             59660           118588184
    5.700     -308.813028866        1381             59756           118757224
    5.800     -308.813042843        1382             59796           118841712
    5.900     -308.813056832        1383             59836           118926200
    6.000     -308.813070885        1384             59884           119010688
    6.100     -308.813085188        1385             59940           119095176
    6.200     -308.813100977        1386             59992           119179664
    6.300     -308.813116797        1387             60052           119264152
    6.400     -308.813130700        1388             60080           119348640
    6.500     -308.813130700        1388             60080           119348640
    6.600     -308.813130700        1388             60080           119348640
    6.700     -308.813130700        1388             60080           119348640
    6.800     -308.813130700        1388             60080           119348640
    6.900     -308.813130700        1388             60080           119348640
    7.000     -308.813130700        1388             60080           119348640
    7.100     -308.813130700        1388             60080           119348640
    7.200     -308.813130700        1388             60080           119348640
    7.300     -308.813130700        1388             60080           119348640
    7.400     -308.813130700        1388             60080           119348640
    7.500     -308.813130700        1388             60080           119348640
    7.600     -308.813130700        1388             60080           119348640
    7.700     -308.813130700        1388             60080           119348640
    7.800     -308.813130700        1388             60080           119348640
    7.900     -308.813130700        1388             60080           119348640
    8.000     -308.813130700        1388             60080           119348640
    8.100     -308.813130700        1388             60080           119348640
    8.200     -308.813130700        1388             60080           119348640
    8.300     -308.813130700        1388             60080           119348640
    8.400     -308.813130700        1388             60080           119348640
    8.500     -308.813130700        1388             60080           119348640
    8.600     -308.813130700        1388             60080           119348640
    8.700     -308.813130700        1388             60080           119348640
    8.800     -308.813130700        1388             60080           119348640
    8.900     -308.813130700        1388             60080           119348640
    9.000     -308.813130700        1388             60080           119348640
    9.100     -308.813130700        1388             60080           119348640
    9.200     -308.813130700        1388             60080           119348640
    9.300     -308.813130700        1388             60080           119348640
    9.400     -308.813130700        1388             60080           119348640
    9.500     -308.813130700        1388             60080           119348640
    9.600     -308.813130700        1388             60080           119348640
    9.700     -308.813130700        1388             60080           119348640
    9.800     -308.813130700        1388             60080           119348640
    9.900     -308.813130700        1388             60080           119348640
   10.000     -308.813130700        1388             60080           119348640
   10.100     -308.813130700        1388             60080           119348640
   10.200     -308.813130700        1388             60080           119348640
   10.300     -308.813130700        1388             60080           119348640
   10.400     -308.813130700        1388             60080           119348640
   10.500     -308.813130700        1388             60080           119348640
   10.600     -308.813130700        1388             60080           119348640
   10.700     -308.813130700        1388             60080           119348640
   10.800     -308.813130700        1388             60080           119348640
   10.900     -308.813130700        1388             60080           119348640
   11.000     -308.813130700        1388             60080           119348640
   11.100     -308.813130700        1388             60080           119348640
   11.200     -308.813130700        1388             60080           119348640
   11.300     -308.813130700        1388             60080           119348640
   11.400     -308.813130700        1388             60080           119348640
   11.500     -308.813130700        1388             60080           119348640
   11.600     -308.813130700        1388             60080           119348640
   11.700     -308.813130700        1388             60080           119348640
   11.800     -308.813130700        1388             60080           119348640
   11.900     -308.813130700        1388             60080           119348640
   12.000     -308.813130700        1388             60080           119348640
   12.100     -308.813130700        1388             60080           119348640
   12.200     -308.813130700        1388             60080           119348640
   12.300     -308.813130700        1388             60080           119348640
   12.400     -308.813130700        1388             60080           119348640
   12.500     -308.813130700        1388             60080           119348640
   12.600     -308.813130700        1388             60080           119348640
   12.700     -308.813130700        1388             60080           119348640
   12.800     -308.813130700        1388             60080           119348640
   12.900     -308.813130700        1388             60080           119348640
   13.000     -308.813130700        1388             60080           119348640
   13.100     -308.813130700        1388             60080           119348640
   13.200     -308.813130700        1388             60080           119348640
   13.300     -308.813130700        1388             60080           119348640
   13.400     -308.813130700        1388             60080           119348640
   13.500     -308.813130700        1388             60080           119348640
   13.600     -308.813130700        1388             60080           119348640
   13.700     -308.813130700        1388             60080           119348640
   13.800     -308.813130700        1388             60080           119348640
   13.900     -308.813130700        1388             60080           119348640
   14.000     -308.813130700        1388             60080           119348640
   14.100     -308.813130700        1388             60080           119348640
   14.200     -308.813130700        1388             60080           119348640
   14.300     -308.813130700        1388             60080           119348640
   14.400     -308.813130700        1388             60080           119348640
   14.500     -308.813130700        1388             60080           119348640
   14.600     -308.813130700        1388             60080           119348640
   14.700     -308.813130700        1388             60080           119348640
   14.800     -308.813130700        1388             60080           119348640
   14.900     -308.813130700        1388             60080           119348640
   15.000     -308.813130700        1388             60080           119348640
   15.100     -308.813130700        1388             60080           119348640
   15.200     -308.813130700        1388             60080           119348640
   15.300     -308.813130700        1388             60080           119348640
   15.400     -308.813130700        1388             60080           119348640
   15.500     -308.813130700        1388             60080           119348640
   15.600     -308.813130700        1388             60080           119348640
   15.700     -308.813130700        1388             60080           119348640
   15.800     -308.813130700        1388             60080           119348640
   15.900     -308.813130700        1388             60080           119348640
   16.000     -308.813130700        1388             60080           119348640
   16.100     -308.813130700        1388             60080           119348640
   16.200     -308.813130700        1388             60080           119348640
   16.300     -308.813130700        1388             60080           119348640
   16.400     -308.813130700        1388             60080           119348640
   16.500     -308.813130700        1388             60080           119348640
   16.600     -308.813130700        1388             60080           119348640
   16.700     -308.813130700        1388             60080           119348640
   16.800     -308.813130700        1388             60080           119348640
   16.900     -308.813130700        1388             60080           119348640
   17.000     -308.813130700        1388             60080           119348640
   17.100     -308.813130700        1388             60080           119348640
   17.200     -308.813130700        1388             60080           119348640
   17.300     -308.813130700        1388             60080           119348640
   17.400     -308.813130700        1388             60080           119348640
   17.500     -308.813130700        1388             60080           119348640
   17.600     -308.813130700        1388             60080           119348640
   17.700     -308.813130700        1388             60080           119348640
   17.800     -308.813130700        1388             60080           119348640
   17.900     -308.813130700        1388             60080           119348640
   18.000     -308.813130700        1388             60080           119348640
   18.100     -308.813130700        1388             60080           119348640
   18.200     -308.813130700        1388             60080           119348640
   18.300     -308.813130700        1388             60080           119348640
   18.400     -308.813130700        1388             60080           119348640
   18.500     -308.813130700        1388             60080           119348640
   18.600     -308.813130700        1388             60080           119348640
   18.700     -308.813130700        1388             60080           119348640
