#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0             28496                   0
    0.100     -308.735652618         148             34800            13200416
    0.200     -308.746893216         296             41104            26400832
    0.300     -308.756662602         446             47520            39789232
    0.400     -308.765153018         597             53976            53271720
    0.500     -308.772538977         751             60584            67036856
    0.600     -308.778969449         916             67560            81416408
    0.700     -308.784576515        1104             75700           100975834
    0.800     -308.789473615        1322             85420           132368610
    0.900     -308.793757510        1567             96404           175108820
    1.000     -308.797511482        1835            108464           228706468
    1.100     -308.800806661        2123            121296           291596572
    1.200     -308.803704281        2428            135000           363774372
    1.300     -308.806256358        2745            149308           441771668
    1.400     -308.808507866        3070            163972           525583972
    1.500     -308.810497393        3403            178984           613703476
    1.600     -308.812258315        3742            194428           702638452
    1.700     -308.813819342        4086            210092           798557358
    1.800     -308.815205330        4433            225836           892706654
    1.900     -308.816437768        4782            241672           989113696
    2.000     -308.817535175        5130            257456          1084963330
    2.100     -308.818513944        5479            273476          1183258932
    2.200     -308.819388020        5826            289116          1277719718
    2.300     -308.820169765        6170            304712          1373847352
    2.400     -308.820869933        6512            320188          1467408442
    2.500     -308.821497808        6851            335464          1560865474
    2.600     -308.822061617        7186            350740          1652429604
    2.700     -308.822568440        7517            365584          1742419382
    2.800     -308.823024772        7842            380396          1832613352
    2.900     -308.823435995        8162            394664          1915758096
    3.000     -308.823807263        8477            408952          2002253160
    3.100     -308.824142535        8786            422860          2082646146
    3.200     -308.824445814        9087            436344          2160412988
    3.300     -308.824720476        9384            449720          2235612044
    3.400     -308.824969549        9676            462708          2309488054
    3.500     -308.825195541        9961            475432          2380165768
    3.600     -308.825400810       10239            487916          2448533832
    3.700     -308.825587623       10511            499992          2514270752
    3.800     -308.825757549       10774            511744          2579813776
    3.900     -308.825912481       11032            523192          2639764144
    4.000     -308.826053888       11284            534468          2700621424
    4.100     -308.826183041       11531            545352          2757431040
    4.200     -308.826301030       11772            556060          2814948992
    4.300     -308.826409009       12007            566552          2871032992
    4.400     -308.826507920       12235            576544          2921598010
    4.500     -308.826598619       12458            586472          2978651388
    4.600     -308.826681882       12674            595888          3026868228
    4.700     -308.826758307       12884            605244          3077594478
    4.800     -308.826828593       13089            614320          3128518622
    4.900     -308.826893174       13286            623076          3173696062
