#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0              3920                   0
    0.100     -308.735486816         127              9352            11242040
    0.200     -308.746577420         253             14756            22391528
    0.300     -308.756215386         379             20148            33541016
    0.400     -308.764597179         505             25544            44690504
    0.500     -308.771893083         631             30924            55839992
    0.600     -308.778249376         757             36272            66989480
    0.700     -308.783790615         882             41628            78046480
    0.800     -308.788629927        1007             46928            89103480
    0.900     -308.792863777        1132             52288           100160480
    1.000     -308.796567365        1256             57604           111125056
    1.100     -308.799818422        1380             62852           122089632
    1.200     -308.802676767        1504             68148           133054208
    1.300     -308.805193537        1628             73348           144018784
    1.400     -308.807415236        1752             78620           154983360
    1.500     -308.809378557        1876             83888           165947936
    1.600     -308.811114601        1999             89104           176820152
    1.700     -308.812656308        2123             94308           187784728
    1.800     -308.814024911        2246             99560           198656944
    1.900     -308.815243504        2369            104684           209390752
    2.000     -308.816330687        2492            109808           220124560
    2.100     -308.817301492        2614            114876           230766168
    2.200     -308.818171354        2737            120096           241499976
    2.300     -308.818950293        2858            125084           251911376
    2.400     -308.819651800        2979            130084           262184848
    2.500     -308.820283080        3099            135036           272504272
    2.600     -308.820853426        3219            140020           283791112
    2.700     -308.821367303        3337            144952           294339840
    2.800     -308.821831206        3454            149780           304934616
    2.900     -308.822251572        3570            154588           316406048
    3.000     -308.822632768        3684            159520           329507984
    3.100     -308.822978978        3795            164132           343314176
    3.200     -308.823292189        3903            168596           356696840
    3.300     -308.823577374        4007            173072           369844552
    3.400     -308.823835209        4106            177252           385355824
    3.500     -308.824070793        4200            181264           398830656
    3.600     -308.824283771        4290            184984           412070376
    3.700     -308.824478551        4375            188656           424002080
    3.800     -308.824655819        4455            192056           435330592
    3.900     -308.824817541        4531            195436           447330954
    4.000     -308.824964622        4602            198348           457208972
    4.100     -308.825099514        4669            201120           468166252
    4.200     -308.825221777        4731            203852           479215188
    4.300     -308.825333596        4788            206316           488429724
    4.400     -308.825435229        4841            208480           496195172
    4.500     -308.825528788        4890            210592           504140284
    4.600     -308.825613452        4935            212384           510650644
    4.700     -308.825691611        4978            214236           518594988
    4.800     -308.825762881        5017            215844           522983940
    4.900     -308.825828275        5054            217484           529315148
    5.000     -308.825888562        5088            218872           534582580
    5.100     -308.825943596        5119            220032           539321388
    5.200     -308.825994170        5148            221172           543621500
    5.300     -308.826041184        5175            222248           548271980
    5.400     -308.826084011        5200            223272           553010020
    5.500     -308.826123239        5223            224112           556263636
    5.600     -308.826159147        5244            224904           559864548
    5.700     -308.826192306        5264            225720           562598372
    5.800     -308.826223288        5283            226432           564729004
    5.900     -308.826251968        5301            227104           566773612
    6.000     -308.826277931        5318            227776           569248212
    6.100     -308.826302508        5335            228412           571464548
    6.200     -308.826324939        5351            229000           573594796
    6.300     -308.826345287        5366            229436           575896900
    6.400     -308.826364730        5381            230008           577427092
    6.500     -308.826383068        5395            230560           579385356
    6.600     -308.826399439        5408            231104           581773292
    6.700     -308.826414588        5420            231612           583559828
    6.800     -308.826428276        5431            232004           585517708
    6.900     -308.826441490        5442            232448           586961940
    7.000     -308.826453429        5452            232832           588320660
    7.100     -308.826464279        5461            233088           589850084
    7.200     -308.826474571        5470            233448           590867780
    7.300     -308.826484287        5479            233788           591885476
    7.400     -308.826493640        5488            234088           593158748
    7.500     -308.826502059        5496            234344           594602596
    7.600     -308.826509968        5504            234608           595790484
    7.700     -308.826517208        5512            234836           597234332
    7.800     -308.826523887        5519            235132           598081708
    7.900     -308.826530367        5526            235456           599440044
    8.000     -308.826535914        5532            235656           600457356
    8.100     -308.826541270        5538            235924           600965244
    8.200     -308.826546319        5544            236156           601473132
    8.300     -308.826551024        5549            236352           601896212
    8.400     -308.826555381        5554            236460           602319292
    8.500     -308.826559375        5559            236644           602996604
    8.600     -308.826563437        5564            236832           603673916
    8.700     -308.826567075        5569            237012           604606036
    8.800     -308.826570582        5574            237164           605029116
    8.900     -308.826573599        5578            237284           605367452
    9.000     -308.826576445        5582            237376           605705788
    9.100     -308.826579158        5586            237504           606298164
    9.200     -308.826581766        5590            237648           606890540
    9.300     -308.826584270        5594            237804           607482916
    9.400     -308.826586701        5598            237936           608329908
    9.500     -308.826588990        5602            238076           608922284
    9.600     -308.826591424        5606            238200           609514660
    9.700     -308.826593886        5610            238304           610107036
    9.800     -308.826596165        5614            238432           610445372
    9.900     -308.826598394        5618            238580           610783708
   10.000     -308.826600059        5621            238676           611291212
   10.100     -308.826601600        5624            238756           611798716
   10.200     -308.826603125        5627            238884           612560644
   10.300     -308.826604584        5630            238964           613322572
   10.400     -308.826605858        5633            239088           613830076
   10.500     -308.826606760        5635            239200           614507004
   10.600     -308.826607754        5637            239248           614676044
   10.700     -308.826608721        5639            239328           614845084
   10.800     -308.826609690        5641            239408           615014124
   10.900     -308.826610175        5642            239448           615098612
   11.000     -308.826610635        5643            239476           615436564
   11.100     -308.826611110        5644            239508           615521052
   11.200     -308.826611569        5645            239548           615859004
   11.300     -308.826612037        5646            239596           615943492
   11.400     -308.826612491        5647            239652           616027980
   11.500     -308.826612957        5648            239700           616112468
   11.600     -308.826613436        5649            239760           616450420
   11.700     -308.826613436        5649            239760           616450420
   11.800     -308.826613436        5649            239760           616450420
   11.900     -308.826613436        5649            239760           616450420
   12.000     -308.826613436        5649            239760           616450420
   12.100     -308.826613436        5649            239760           616450420
   12.200     -308.826613436        5649            239760           616450420
   12.300     -308.826613436        5649            239760           616450420
   12.400     -308.826613436        5649            239760           616450420
   12.500     -308.826613436        5649            239760           616450420
   12.600     -308.826613436        5649            239760           616450420
   12.700     -308.826613436        5649            239760           616450420
   12.800     -308.826613436        5649            239760           616450420
   12.900     -308.826613436        5649            239760           616450420
   13.000     -308.826613436        5649            239760           616450420
   13.100     -308.826613436        5649            239760           616450420
   13.200     -308.826613436        5649            239760           616450420
   13.300     -308.826613436        5649            239760           616450420
   13.400     -308.826613436        5649            239760           616450420
   13.500     -308.826613436        5649            239760           616450420
   13.600     -308.826613436        5649            239760           616450420
   13.700     -308.826613436        5649            239760           616450420
   13.800     -308.826613436        5649            239760           616450420
   13.900     -308.826613436        5649            239760           616450420
   14.000     -308.826613436        5649            239760           616450420
   14.100     -308.826613436        5649            239760           616450420
   14.200     -308.826613436        5649            239760           616450420
   14.300     -308.826613436        5649            239760           616450420
   14.400     -308.826613436        5649            239760           616450420
   14.500     -308.826613436        5649            239760           616450420
   14.600     -308.826613436        5649            239760           616450420
   14.700     -308.826613436        5649            239760           616450420
   14.800     -308.826613436        5649            239760           616450420
   14.900     -308.826613436        5649            239760           616450420
   15.000     -308.826613436        5649            239760           616450420
   15.100     -308.826613436        5649            239760           616450420
   15.200     -308.826613436        5649            239760           616450420
   15.300     -308.826613436        5649            239760           616450420
   15.400     -308.826613436        5649            239760           616450420
   15.500     -308.826613436        5649            239760           616450420
   15.600     -308.826613436        5649            239760           616450420
   15.700     -308.826613436        5649            239760           616450420
   15.800     -308.826613436        5649            239760           616450420
   15.900     -308.826613436        5649            239760           616450420
   16.000     -308.826613436        5649            239760           616450420
   16.100     -308.826613436        5649            239760           616450420
   16.200     -308.826613436        5649            239760           616450420
   16.300     -308.826613436        5649            239760           616450420
   16.400     -308.826613436        5649            239760           616450420
   16.500     -308.826613436        5649            239760           616450420
   16.600     -308.826613436        5649            239760           616450420
   16.700     -308.826613436        5649            239760           616450420
   16.800     -308.826613436        5649            239760           616450420
   16.900     -308.826613436        5649            239760           616450420
   17.000     -308.826613436        5649            239760           616450420
   17.100     -308.826613436        5649            239760           616450420
   17.200     -308.826613436        5649            239760           616450420
   17.300     -308.826613436        5649            239760           616450420
   17.400     -308.826613436        5649            239760           616450420
   17.500     -308.826613436        5649            239760           616450420
   17.600     -308.826613436        5649            239760           616450420
   17.700     -308.826613436        5649            239760           616450420
   17.800     -308.826613436        5649            239760           616450420
   17.900     -308.826613436        5649            239760           616450420
   18.000     -308.826613436        5649            239760           616450420
   18.100     -308.826613436        5649            239760           616450420
   18.200     -308.826613436        5649            239760           616450420
   18.300     -308.826613436        5649            239760           616450420
   18.400     -308.826613436        5649            239760           616450420
   18.500     -308.826613436        5649            239760           616450420
   18.600     -308.826613436        5649            239760           616450420
   18.700     -308.826613436        5649            239760           616450420
   18.800     -308.826613436        5649            239760           616450420
   18.900     -308.826613436        5649            239760           616450420
   19.000     -308.826613436        5649            239760           616450420
   19.100     -308.826613436        5649            239760           616450420
   19.200     -308.826613436        5649            239760           616450420
   19.300     -308.826613436        5649            239760           616450420
   19.400     -308.826613436        5649            239760           616450420
   19.500     -308.826613436        5649            239760           616450420
   19.600     -308.826613436        5649            239760           616450420
   19.700     -308.826613436        5649            239760           616450420
   19.800     -308.826613436        5649            239760           616450420
   19.900     -308.826613436        5649            239760           616450420
   20.000     -308.826613436        5649            239760           616450420
   20.100     -308.826613436        5649            239760           616450420
   20.200     -308.826613436        5649            239760           616450420
   20.300     -308.826613436        5649            239760           616450420
   20.400     -308.826613436        5649            239760           616450420
   20.500     -308.826613436        5649            239760           616450420
   20.600     -308.826613436        5649            239760           616450420
   20.700     -308.826613436        5649            239760           616450420
   20.800     -308.826613436        5649            239760           616450420
   20.900     -308.826613436        5649            239760           616450420
   21.000     -308.826613436        5649            239760           616450420
   21.100     -308.826613436        5649            239760           616450420
   21.200     -308.826613436        5649            239760           616450420
   21.300     -308.826613436        5649            239760           616450420
   21.400     -308.826613436        5649            239760           616450420
   21.500     -308.826613436        5649            239760           616450420
   21.600     -308.826613436        5649            239760           616450420
   21.700     -308.826613436        5649            239760           616450420
   21.800     -308.826613436        5649            239760           616450420
   21.900     -308.826613436        5649            239760           616450420
   22.000     -308.826613436        5649            239760           616450420
   22.100     -308.826613436        5649            239760           616450420
