#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.752278703           0             45288                   0
    0.100       -4.794192522         205             56156            22684456
    0.200       -4.822406613         684             82784           204589144
    0.300       -4.841700000        1446            126904           638803048
    0.400       -4.855108137        2353            179620          1235845064
    0.500       -4.864568639        3383            240264          2004354360
    0.600       -4.871338665        4550            309456          3035642952
    0.700       -4.876247467        5882            388680          4948036248
    0.800       -4.879850302        7371            477292          8142195568
    0.900       -4.882524231        8991            573968         12970194304
    1.000       -4.884528925       10696            676108         19385208920
    1.100       -4.886045731       12439            780616         26815967384
    1.200       -4.887203182       14188            885124         34394590856
    1.300       -4.888093484       15927            989504         42500820056
    1.400       -4.888783230       17617           1090416         50793459672
    1.500       -4.889321189       19234           1187216         58415527248
    1.600       -4.889743459       20783           1279264         65748589696
    1.700       -4.890076945       22258           1366484         71945640256
    1.800       -4.890341782       23674           1450244         78264223552
    1.900       -4.890553097       24990           1527852         83694010096
