#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.752278703           0             45288                   0
    0.500       -4.870655816         126             51748            14068656
    1.000       -4.883363821         233             57296            28973922
    1.500       -4.885554708         282             59828            37756252
    2.000       -4.886184282         301             60780            41285924
    2.500       -4.886463623         312             61364            44759972
    3.000       -4.886518884         315             61536            45730412
    3.500       -4.886527717         316             61612            45838068
    4.000       -4.886533239         317             61688            45945724
    4.500       -4.886556034         318             61736            46376348
    5.000       -4.886556034         318             61736            46376348
    5.500       -4.886556034         318             61736            46376348
    6.000       -4.886556034         318             61736            46376348
    6.500       -4.886556034         318             61736            46376348
    7.000       -4.886556034         318             61736            46376348
    7.500       -4.886556034         318             61736            46376348
    8.000       -4.886556034         318             61736            46376348
    8.500       -4.886556034         318             61736            46376348
    9.000       -4.886556034         318             61736            46376348
    9.500       -4.886556034         318             61736            46376348
   10.000       -4.886556034         318             61736            46376348
   10.500       -4.886556034         318             61736            46376348
   11.000       -4.886556034         318             61736            46376348
   11.500       -4.886556034         318             61736            46376348
   12.000       -4.886556034         318             61736            46376348
   12.500       -4.886556034         318             61736            46376348
   13.000       -4.886556034         318             61736            46376348
   13.500       -4.886556034         318             61736            46376348
   14.000       -4.886556034         318             61736            46376348
   14.500       -4.886556034         318             61736            46376348
   15.000       -4.886556034         318             61736            46376348
   15.500       -4.886556034         318             61736            46376348
   16.000       -4.886556034         318             61736            46376348
   16.500       -4.886556034         318             61736            46376348
   17.000       -4.886556034         318             61736            46376348
   17.500       -4.886556034         318             61736            46376348
   18.000       -4.886556034         318             61736            46376348
   18.500       -4.886556034         318             61736            46376348
   19.000       -4.886556034         318             61736            46376348
   19.500       -4.886556034         318             61736            46376348
   20.000       -4.886556034         318             61736            46376348
   20.500       -4.886556034         318             61736            46376348
   21.000       -4.886556034         318             61736            46376348
   21.500       -4.886556034         318             61736            46376348
   22.000       -4.886556034         318             61736            46376348
   22.500       -4.886556034         318             61736            46376348
   23.000       -4.886556034         318             61736            46376348
   23.500       -4.886556034         318             61736            46376348
   24.000       -4.886556034         318             61736            46376348
   24.500       -4.886556034         318             61736            46376348
   25.000       -4.886556034         318             61736            46376348
   25.500       -4.886556034         318             61736            46376348
   26.000       -4.886556034         318             61736            46376348
   26.500       -4.886556034         318             61736            46376348
   27.000       -4.886556034         318             61736            46376348
   27.500       -4.886556034         318             61736            46376348
   28.000       -4.886556034         318             61736            46376348
   28.500       -4.886556034         318             61736            46376348
   29.000       -4.886556034         318             61736            46376348
   29.500       -4.886556034         318             61736            46376348
   30.000       -4.886556034         318             61736            46376348
