#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.752278703           0             45288                   0
    0.100       -4.794153254         187             55228            21244696
    0.200       -4.822271723         389             65912            43658498
    0.300       -4.841474226         756             85752           152888634
    0.400       -4.854830280        1277            114964           372708018
    0.500       -4.864269983        1895            150064           677005698
    0.600       -4.871036536        2577            188892          1043469850
    0.700       -4.875951333        3304            230144          1463643122
    0.800       -4.879564931        4064            273584          1924460202
    0.900       -4.882251519        4857            318664          2439097042
    1.000       -4.884269043        5673            365708          3081964228
    1.100       -4.885797322        6485            411904          3779411044
    1.200       -4.886965686        7300            458476          4587026692
    1.300       -4.887866001        8096            503716          5402409596
    1.400       -4.888564142        8860            547060          6205862204
    1.500       -4.889109730        9594            588632          7083718076
    1.600       -4.889538666       10291            627908          7819135668
    1.700       -4.889878304       10952            665396          8556437596
    1.800       -4.890148232       11571            699972          9220262444
    1.900       -4.890364152       12149            732384          9812557724
    2.000       -4.890537467       12685            762448         10374112868
    2.100       -4.890677165       13181            789900         10839608796
