#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.752278703           0             45288                   0
    0.100       -4.794060626         176             54556            19933056
    0.200       -4.822153003         360             64340            40729738
    0.300       -4.841277093         592             76680            74120042
    0.400       -4.854565502         937             95236           171853658
    0.500       -4.863966783        1373            119284           332982882
    0.600       -4.870719436        1871            147084           543507234
    0.700       -4.875632706        2407            176976           786918828
    0.800       -4.879251005        2966            208344          1051371340
    0.900       -4.881944111        3539            240320          1332900334
    1.000       -4.883969419        4109            272236          1622807854
    1.100       -4.885506126        4671            303556          1906355846
    1.200       -4.886682811        5221            334340          2207100174
    1.300       -4.887590887        5749            363616          2497606758
    1.400       -4.888296751        6253            391724          2802757518
    1.500       -4.888847832        6723            417892          3098909046
    1.600       -4.889282051        7164            442504          3358207182
    1.700       -4.889625465        7577            465056          3577897182
    1.800       -4.889899249        7962            486196          3812266552
    1.900       -4.890117750        8318            505656          4020910960
    2.000       -4.890294630        8648            523508          4196430736
    2.100       -4.890437090        8952            539984          4354982888
    2.200       -4.890552474        9234            555060          4472073794
